date, pm25, pm10, o3, no2, so2, co
2019/9/1, 60, 43, 12, , 1, 9
2019/9/2, 52, 94, 11, , 1, 9
2019/9/3, 80, 49, 8, , 1, 10
2019/9/4, 58, 33, 8, , 1, 5
2019/9/5, 42, 56, 10, , 1, 5
2019/9/6, 66, 54, 17, , 1, 6
2019/9/7, 63, 47, 17, , 1, 7
2019/9/8, 56, 63, 19, , 1, 5
2019/9/9, 73, 61, 19, , 5, 3
2019/9/10, 71, 82, 17, , 1, 3
2019/9/11, 83, 61, 18, , 1, 3
2019/9/12, 78, 49, 5, , 1, 3
2019/9/13, 67, 57, 5, , 1, 3
2019/9/14, 90, 43, 3, , 1, 4
2019/9/15, 71, 59, 7, , 1, 3
2019/9/16, 94, 72, 10, , 1, 3
2019/9/17, 120, 60, 8, , 1, 3
2019/9/18, 95, 37, 6, , 1, 2
2019/9/19, 63, 38, 7, , 1, 3
2019/9/20, 63, 49, 5, , 2, 2
2019/9/21, 78, 46, 3, , 1, 3
2019/9/22, 75, 32, 8, , 1, 2
2019/9/23, 58, 49, 8, , 1, 3
2019/9/24, 77, 54, 9, , 1, 3
2019/9/25, 84, 49, 6, , 1, 3
2019/9/26, 82, 38, 7, , 1, 3
2019/9/27, 64, 34, 3, , 1, 3
2019/9/28, 59, 15, 3, , 1, 3
2019/9/29, 31, 26, 5, , 1, 3
2019/9/30, 49, 41, 6, , 1, 3
2019/10/1, 67, 52, 13, , 1, 3
2019/10/2, 80, 72, 6, 16, 1, 3
2019/10/3, 119, 34, 3, 14, 1, 2
2019/10/4, 59, 40, 2, 6, 1, 2
2019/10/5, 66, 56, , 8, 1, 3
2019/10/6, 88, 58, 4, 7, 1, 3
2019/10/7, 93, 50, , 10, 1, 3
2019/10/8, 79, 64, 8, 12, 1, 4
2019/10/9, 103, 72, 9, 13, 2, 4
2019/10/10, 121, 66, 8, 17, 2, 4
2019/10/11, 107, 91, 9, 16, 2, 5
2019/10/12, 148, 85, 2, 2, 1, 6
2019/10/13, 145, 75, 7, 2, 2, 6
2019/10/14, 148, 72, 9, 5, 2, 7
2019/10/15, 151, 80, 7, 5, 2, 8
2019/10/16, 157, 77, 7, 4, 2, 8
2019/10/17, 145, 66, 5, , 2, 7
2019/10/18, 132, 80, 6, 24, 2, 8
2019/10/19, 142, 77, , , 1, 8
2019/10/20, 127, 89, 10, 4, 2, 8
2019/10/21, 141, 90, 10, 10, 1, 14
2019/10/22, 146, 102, 9, 15, 1, 15
2019/10/23, 158, 107, 12, 13, 2, 2
2019/10/24, 163, 117, 13, 10, 3, 3
2019/10/25, 167, 154, 12, 10, 3, 4
2019/10/26, 185, 219, 7, 10, 3, 5
2019/10/27, 215, 288, 8, 10, 11, 8
2019/10/28, 245, 128, 7, 12, 9, 8
2019/10/29, 179, 151, 7, 15, 9, 9
2019/10/30, 193, 159, 9, 14, 10, 9
2019/10/31, 187, 159, 9, 14, 10, 7
2019/11/1, 181, 249, 7, 19, 12, 11
2019/11/2, 217, 386, 7, 20, 11, 5
2019/11/3, 273, 148, 9, 11, 10, 7
2019/11/4, 189, 123, 9, 10, 10, 8
2019/11/5, 171, 263, 11, 13, 11, 7
2019/11/6, 249, 56, 9, 6, 9, 7
2019/11/7, 92, 82, 9, 11, 8, 7
2019/11/8, 130, 129, 9, 9, 9, 5
2019/11/9, 156, 229, 14, 8, 9, 6
2019/11/10, 219, 186, 16, 12, 9, 8
2019/11/11, 204, 238, 13, 9, 9, 6
2019/11/12, 223, 155, 13, 15, 10, 7
2019/11/13, 189, 154, 9, 29, 10, 8
2019/11/14, 183, 140, 12, 22, 10, 4
2019/11/15, 186, 77, 9, 16, 9, 2
2019/11/16, 123, 58, 10, 15, 9, 2
2019/11/17, 93, 74, 13, 19, 9, 3
2019/11/18, 115, 107, 14, 22, 9, 3
2019/11/19, 158, 114, 12, 27, 9, 4
2019/11/20, 158, 108, 11, 27, 9, 4
2019/11/21, 159, 97, 10, 20, 9, 3
2019/11/22, 146, 73, 11, 15, 9, 2
2019/11/23, 113, 72, 12, 16, 9, 3
2019/11/24, 120, 85, 11, 13, 9, 3
2019/11/25, 101, 63, 6, 13, 9, 2
2019/11/26, 97, 39, 8, 15, 14, 2
2019/11/27, 59, 42, 8, 11, 8, 2
2019/11/28, 74, 50, 9, 9, 10, 3
2019/11/29, 86, 58, 9, 5, 9, 2
2019/11/30, 101, 69, 9, 5, 8, 3
2018/11/30, 142, 85, 7, 10, 7, 8
2018/11/29, , 81, 5, 10, 7, 6
