date, pm25, pm10, o3, no2, so2, co
2019/9/1, 61, , 17, , 10, 8
2019/9/2, 61, , 21, , 9, 14
2019/9/3, 140, , 17, , 11, 11
2019/9/4, 115, , 13, , 9, 7
2019/9/5, 73, , 12, , 10, 9
2019/9/6, 69, , 15, , 9, 7
2019/9/7, 68, , 22, , 10, 7
2019/9/8, 60, , 67, , 10, 9
2019/9/9, 110, , 68, , 19, 9
2019/9/10, 151, , 50, , 12, 7
2019/9/11, 151, , 15, , 9, 7
2019/9/12, 136, , , , , 
2019/9/14, 69, , 9, , 3, 7
2019/9/15, 72, , 52, , 4, 18
2019/9/16, 142, , 48, , 4, 12
2019/9/17, 139, , 28, , 2, 8
2019/9/18, 79, , 29, , 1, 7
2019/9/19, 58, , 20, , 1, 8
2019/9/20, 80, , 23, , 3, 6
2019/9/21, 90, , 18, , 4, 8
2019/9/22, 72, , 23, , 3, 7
2019/9/23, 59, , 23, , 4, 8
2019/9/24, 93, , 26, , 4, 9
2019/9/25, 75, , 24, , 5, 7
2019/9/26, 52, , 12, , 7, 8
2019/9/27, 33, , 15, , 7, 8
2019/9/28, 49, , , , 7, 6
2019/9/29, 22, , 23, , 3, 11
2019/9/30, 71, , 23, , 1, 8
2017/9/1, 71, , 12, 3, 4, 6
2017/9/2, 107, , 8, 2, , 8
2017/9/3, 103, , 11, 3, 6, 9
2017/9/4, 124, , 5, 2, , 8
2017/9/5, 103, , , , , 
2017/9/11, 149, , 4, 6, 1, 14
2017/9/12, 156, , , , , 
2017/9/14, 166, , 17, 9, 1, 9
2017/9/16, 157, , 15, 6, , 8
2017/9/17, 135, , 20, 7, 2, 8
2017/9/18, 137, , 18, 7, 6, 9
2017/9/19, 156, , 22, 7, 6, 10
2017/9/20, 159, , 8, 5, 6, 9
2017/9/21, 127, , 3, 3, , 6
2017/9/22, 83, , 3, 3, , 3
2017/9/23, 102, , 9, 5, , 6
2017/9/24, 111, , 17, 5, 3, 8
2017/9/25, 154, , 14, 6, 3, 10
2017/9/26, 167, , 18, 6, 3, 12
2017/9/27, 178, , 20, 6, 6, 13
2017/9/28, 190, , 20, 7, 3, 13
2017/9/29, 181, , 16, 7, 2, 16
2017/9/30, 173, , , , , 
2016/9/1, 85, , 9, 6, 3, 4
2016/9/2, 120, , 9, 7, 3, 5
2016/9/3, 142, , 8, 5, 2, 6
2016/9/4, 133, , 9, 5, 2, 7
2016/9/5, 137, , 14, 6, 4, 5
2016/9/6, 138, , 15, 7, 7, 2
2016/9/7, 164, , 9, 7, , 4
2016/9/8, 260, , 13, 7, 6, 2
2016/9/9, 118, , 9, 7, 3, 1
2016/9/10, 111, , 38, 7, 3, 1
2016/9/11, 98, , 26, 8, 4, 3
2016/9/12, 108, , 10, 10, 5, 4
2016/9/13, 148, , 9, 6, 6, 12
2016/9/14, 109, , 8, 11, 4, 7
2016/9/15, 165, , 12, 12, 4, 7
2016/9/16, 163, , 13, 11, 4, 6
2016/9/17, 175, , 12, 8, 4, 6
2016/9/18, 168, , 13, 8, 4, 9
2016/9/19, 158, , 14, 9, 4, 5
2016/9/20, 171, , 11, 6, 4, 8
2016/9/21, 159, , 9, 4, 3, 3
2016/9/22, 101, , 9, 6, 4, 2
2016/9/23, 116, , 10, 6, 4, 4
2016/9/24, 129, , 10, 6, 4, 3
2016/9/25, 127, , 10, 7, 4, 3
2016/9/26, 152, , 12, 7, 4, 4
2016/9/27, 147, , 14, 9, 4, 5
2016/9/28, 176, , 11, 6, 4, 8
2016/9/29, 163, , 15, 9, 4, 11
2016/9/30, 160, , 10, 7, 4, 9
2019/9/13, , , 20, , 2, 9
2017/9/9, , , 18, 5, 1, 10
2017/9/10, , , 20, 6, 2, 11
2017/9/13, , , 17, 8, 11, 6
2017/9/15, , , 15, 10, 4, 11
2019/10/1, 72, , 31, , 2, 9
2019/10/2, 70, , 45, , 4, 12
2019/10/3, 138, , 48, , 3, 10
2019/10/4, 132, , 50, , 5, 16
2019/10/5, 108, , 27, , 5, 14
2019/10/6, 142, , 31, , 1, 15
2019/10/7, 137, , 47, , 2, 8
2019/10/8, 113, , 43, , 3, 11
2019/10/9, 150, , 65, , 6, 15
2019/10/10, 155, , 71, , 6, 17
2019/10/11, 171, , 71, , 6, 17
2019/10/12, 172, , 73, , 5, 23
2019/10/13, 179, , 51, , 7, 24
2019/10/14, 186, , 76, , 5, 25
2019/10/15, 206, , 63, , 3, 19
2019/10/16, 200, , 53, , 2, 16
2019/10/17, 173, , 41, , 4, 15
2019/10/18, 158, , 83, , 6, 19
2019/10/19, 148, , 52, , 6, 18
2019/10/20, 157, , 59, , 5, 18
2019/10/21, 174, , 51, , 5, 13
2019/10/22, 150, , 76, , 4, 17
2019/10/23, 176, , 30, , 5, 27
2019/10/24, 201, , 58, , 4, 14
2019/10/25, 180, , 55, , 5, 16
2019/10/26, 194, , 72, , 10, 16
2019/10/27, 245, , 74, , 16, 14
2019/10/28, 284, , 34, , 8, 26
2019/10/29, 305, , 50, , 8, 26
2019/10/30, 328, , 48, , 8, 27
2019/10/31, 309, , 61, , 9, 30
2017/10/2, 145, , 21, 7, 3, 8
2017/10/3, 163, , 21, 9, 4, 12
2017/10/4, 172, , 16, 8, 7, 12
2017/10/5, 176, , 21, 9, 10, 10
2017/10/6, 183, , 21, 12, 3, 10
2017/10/7, 166, , , , , 
2017/10/9, 155, , 28, 8, 9, 11
