city,Time,co,no2,o3,pm10,pm25,so2,new_date,new_time
Amritsar,2017-09-01 00:00:00+00:00,620.0,7.43,5.04,49.51,29.67,10.87,2017-09-01,00:00:00
Amritsar,2017-09-01 00:30:00+00:00,700.0,7.46,5.94,49.51,27.36,8.19,2017-09-01,00:30:00
Amritsar,2017-09-01 00:45:00+00:00,700.0,7.36,5.99,54.09,43.87,6.74,2017-09-01,00:45:00
Amritsar,2017-09-01 01:00:00+00:00,720.0,7.36,5.99,57.6,45.71,6.17,2017-09-01,01:00:00
Amritsar,2017-09-01 01:15:00+00:00,730.0,7.35,6.25,57.6,45.14,5.3,2017-09-01,01:15:00
Amritsar,2017-09-01 01:30:00+00:00,740.0,7.36,6.19,57.6,45.08,4.82,2017-09-01,01:30:00
Amritsar,2017-09-01 02:00:00+00:00,780.0,7.51,6.44,79.63,46.95,3.57,2017-09-01,02:00:00
Amritsar,2017-09-01 02:30:00+00:00,790.0,7.42,6.3,79.63,34.7,3.2,2017-09-01,02:30:00
Amritsar,2017-09-01 03:00:00+00:00,500.0,7.39,6.2,69.82,36.45,4.65,2017-09-01,03:00:00
Amritsar,2017-09-01 03:30:00+00:00,560.0,7.51,6.34,69.82,30.05,4.95,2017-09-01,03:30:00
Amritsar,2017-09-01 04:30:00+00:00,510.0,7.35,5.53,75.66,27.33,6.12,2017-09-01,04:30:00
Amritsar,2017-09-01 04:45:00+00:00,490.0,7.36,5.57,71.86,42.82,6.81,2017-09-01,04:45:00
Amritsar,2017-09-01 05:00:00+00:00,500.0,7.55,5.59,68.97,44.75,7.36,2017-09-01,05:00:00
Amritsar,2017-09-01 05:30:00+00:00,510.0,7.81,5.25,68.97,35.31,8.28,2017-09-01,05:30:00
Amritsar,2017-09-01 05:45:00+00:00,510.0,7.94,5.65,63.86,29.41,9.09,2017-09-01,05:45:00
Amritsar,2017-09-01 06:00:00+00:00,520.0,8.18,5.73,60.62,29.06,9.03,2017-09-01,06:00:00
Amritsar,2017-09-01 06:30:00+00:00,550.0,8.46,5.33,60.62,26.2,10.25,2017-09-01,06:30:00
Amritsar,2017-09-01 07:00:00+00:00,740.0,8.45,5.43,65.14,24.64,7.45,2017-09-01,07:00:00
Amritsar,2017-09-01 07:30:00+00:00,710.0,8.48,5.69,65.14,33.8,8.56,2017-09-01,07:30:00
Amritsar,2017-09-01 08:00:00+00:00,670.0,8.45,5.46,70.53,29.63,7.92,2017-09-01,08:00:00
Amritsar,2017-09-01 08:30:00+00:00,660.0,8.47,5.64,70.53,29.42,9.14,2017-09-01,08:30:00
Amritsar,2017-09-01 09:00:00+00:00,710.0,8.59,6.0,54.3,27.83,10.02,2017-09-01,09:00:00
Amritsar,2017-09-01 09:30:00+00:00,690.0,8.48,6.53,54.3,28.44,7.36,2017-09-01,09:30:00
Amritsar,2017-09-01 10:00:00+00:00,740.0,8.4,7.12,51.1,26.51,5.38,2017-09-01,10:00:00
Amritsar,2017-09-01 10:15:00+00:00,730.0,8.33,7.24,51.1,26.01,4.29,2017-09-01,10:15:00
Amritsar,2017-09-01 10:30:00+00:00,740.0,8.33,7.08,51.1,25.99,5.09,2017-09-01,10:30:00
