date, pm25, pm10, o3, no2, so2, co
2020/3/2, 141, 113, 18, 15, 10, 6
2020/3/3, 149, 131, 21, 20, 11, 7
2020/3/4, 180, , , , , 
2020/3/6, 19, 36, 25, 6, 3, 
2020/3/7, 65, 69, 35, 11, 5, 
2020/3/8, 121, 84, 32, 8, 5, 
2020/3/9, 110, 91, 35, 8, 8, 
2020/3/10, 135, 78, 34, 5, 5, 
2020/3/11, 137, 89, 28, 5, 6, 
2020/3/12, 146, 66, 25, 5, 4, 
2020/3/13, 101, 37, 27, 4, 3, 
2020/3/14, 56, 68, 35, 9, 5, 
2020/3/15, 100, 83, 40, 7, 6, 
2020/3/16, 123, 91, 43, 8, 10, 
2020/3/17, 127, 94, 43, 8, 10, 
2020/3/18, 132, 113, 46, 11, 12, 
2020/3/19, 161, 135, 24, 18, 16, 
2020/3/20, 183, , , , , 
2020/2/1, 175, 115, 27, 17, 8, 10
2020/2/2, 172, 119, 39, 20, 8, 7
2020/2/3, 161, 134, 34, 18, 8, 8
2020/2/4, 190, 114, 33, 17, 10, 9
2020/2/5, 171, 118, 39, 19, 9, 10
2020/2/6, 184, 129, 38, 18, 10, 6
2020/2/7, 203, 117, 39, 16, 9, 10
2020/2/8, 183, 127, 47, 20, 9, 8
2020/2/9, 190, 132, 44, 21, 8, 10
2020/2/10, 193, 138, 49, 22, 10, 6
2020/2/11, 203, 137, 43, 17, 9, 9
2020/2/12, 188, 121, 32, 13, 9, 9
2020/2/13, 153, 123, 35, 12, 8, 7
2020/2/14, 137, 104, 40, 14, 9, 9
2020/2/15, 149, 143, 44, 27, 9, 8
2020/2/16, 196, 129, 45, 23, 10, 6
2020/2/17, 170, 122, 46, 21, 12, 9
2020/2/18, 162, 123, 35, 23, 4, 6
2020/2/19, 180, 138, 18, 15, 3, 9
2020/2/20, 199, , , , , 
2020/2/24, 106, 126, 38, 18, 8, 7
2020/2/25, 184, 104, 48, 11, 17, 13
2020/2/26, 168, 98, 36, 8, 8, 7
2020/2/27, 170, 93, 31, 8, 8, 7
2020/2/28, 165, 88, 26, 7, 9, 6
2020/2/29, 156, , , , , 
2020/1/1, 258, 188, , , 9, 12
2020/1/2, 182, 157, 22, , 9, 12
2020/1/3, 148, 182, 7, 16, 9, 11
2020/1/4, 181, 160, 27, 15, 11, 7
2020/1/5, 176, 144, 11, 14, 10, 8
2020/1/6, 172, 80, 14, 5, 7, 7
2020/1/7, 140, 78, 7, 11, 1, 6
2020/1/8, 151, 74, 16, 7, 3, 8
2020/1/9, 152, 105, 23, 11, 6, 7
2020/1/10, 174, 139, 30, 15, 8, 9
2020/1/11, 208, 175, 30, 19, 6, 13
2020/1/12, 207, 191, 3, 18, 1, 14
2020/1/16, 142, 57, 13, 5, 5, 
2020/1/17, 89, 90, 7, 12, 7, 12
2020/1/18, 115, 121, 16, 9, 5, 9
2020/1/19, 161, 144, 14, 11, 6, 11
2020/1/20, 169, 165, 7, 15, 7, 11
2020/1/21, 182, 123, 16, 13, 6, 12
2020/1/22, 161, 90, 19, 7, 7, 11
2020/1/23, 99, 103, 25, 11, 8, 9
2020/1/24, 118, 177, 14, 18, 8, 11
2020/1/25, 220, 248, 27, 23, 8, 12
2020/1/26, 303, 174, 15, 18, 9, 9
2020/1/27, 252, 85, 15, 7, 5, 9
2020/1/28, 170, 71, 18, 10, 5, 10
2020/1/29, 129, 79, 22, 7, 6, 8
2020/1/30, 122, 93, 22, 11, 9, 11
2020/1/31, 161, 100, 29, 17, 7, 5
2019/10/2, 85, 87, , , 3, 17
2019/10/3, 142, 62, , , 2, 11
2019/10/4, 104, 79, , , 3, 
2019/10/5, 108, 86, 34, 12, 3, 
2019/10/6, 125, 98, 38, 12, 3, 
2019/10/7, 141, 75, 42, 10, 3, 
2019/10/8, 99, 117, 47, 17, 2, 
2019/10/9, 161, 142, 44, 22, 5, 7
2019/10/10, 183, 139, 57, 26, 4, 8
2019/10/11, 190, 124, 52, 18, 4, 9
2019/10/12, 190, 103, 54, 19, 3, 10
2019/10/13, 150, 122, 63, 18, 6, 8
2019/10/14, 178, 174, 51, 14, 6, 11
2019/10/15, 247, , , , , 
2019/10/17, 177, 107, 43, 8, 5, 9
2019/10/18, 167, 114, 57, 17, 8, 10
2019/10/19, 161, 125, 59, 15, 5, 10
2019/10/20, 172, 135, 76, 14, 8, 12
2019/10/21, 187, 144, 50, 16, 7, 16
2019/10/22, 174, 157, 55, 17, 9, 14
2019/10/23, 196, 130, 46, 9, 5, 14
2019/10/24, 201, 127, 43, 8, 5, 13
2019/10/25, 194, 170, 45, 15, 12, 12
2019/10/26, 205, 178, 56, 21, 12, 14
2019/10/27, 227, 234, , 23, 19, 16
2019/10/28, 279, 207, , 22, 12, 19
2019/10/29, 263, 456, 13, 28, 10, 22
2019/10/30, 401, 353, 41, 26, 9, 17
2019/10/31, 330, 285, 65, 27, 8, 14
2019/11/1, 314, 243, 40, 23, 6, 
2019/11/2, 270, 619, 30, 25, 7, 
2019/11/3, 532, 374, 34, 20, 6, 
2019/11/4, 361, 290, 38, 18, 9, 
2019/11/5, 296, 249, 38, 25, 10, 
2019/11/6, 269, 133, 16, 18, 2, 
2019/11/7, 168, 104, 33, 17, 5, 
2019/11/8, 162, 113, 31, 18, 7, 
2019/11/9, 155, 295, 36, 23, 9, 
2019/11/10, 283, 195, 44, 23, 11, 
2019/11/11, 219, 199, 43, 27, 9, 32
2019/11/12, 193, 260, 36, 33, 8, 20
2019/11/13, 265, 206, 26, 28, 9, 16
2019/11/14, 239, 174, 33, 25, 9, 15
2019/11/15, 211, 118, 28, 16, 7, 9
2019/11/16, 148, 103, 23, 14, 6, 9
2019/11/17, 140, 154, 31, 20, 11, 13
2019/11/18, 201, 185, 38, 26, 12, 14
2019/11/19, 207, 225, 38, 31, 10, 19
2019/11/20, 214, 237, 35, 26, 10, 17
2019/11/21, 275, 185, 55, 26, 13, 14
2019/11/22, 201, 138, 33, 22, 12, 13
2019/11/23, 181, 106, 38, 17, 6, 10
2019/11/24, 160, 134, 36, 21, 8, 12
2019/11/25, 173, 116, 35, 15, 13, 10
2019/11/26, 175, 88, 38, 13, 6, 10
2019/11/27, 138, 25, 22, 7, 1, 10
2019/11/28, 60, 68, 30, 17, 12, 10
2019/11/29, 113, 107, 33, 20, 10, 10
2019/11/30, 169, 133, 46, 22, 7, 10
2019/12/1, 152, 160, 51, 29, 7, 12
2019/12/2, 197, 169, 54, 29, 10, 13
2019/12/3, 190, 289, 59, 43, 15, 18
2019/12/4, 281, 205, 45, 30, 12, 18
2019/12/5, 244, 146, 39, 29, , 16
2019/12/6, 182, 137, 34, 28, , 16
2019/12/7, 175, 142, 37, 42, 28, 15
2019/12/8, 183, 155, 48, 35, 13, 15
2019/12/9, 184, 257, 43, 35, 14, 17
2019/12/10, 224, 349, 35, 43, 19, 21
2019/12/11, 308, 144, 30, 24, 10, 13
2019/12/12, 237, 32, 22, 11, 6, 8
2019/12/13, 93, 41, 19, 16, 4, 9
2019/12/14, 84, 94, 23, 21, 10, 9
2019/12/15, 164, 104, 10, 15, 7, 9
2019/12/16, 159, 115, 11, 14, 6, 10
2019/12/17, 168, 128, 19, 15, 7, 12
2019/12/18, 178, 156, 20, 19, 8, 14
