date, pm25, pm10, o3, no2, so2, co
2020/1/1, 226, , 19, 13, 3, 12
2020/1/2, 190, , 16, 2, 2, 9
2020/1/3, 165, , 15, 2, 3, 10
2020/1/4, 182, , 16, 2, 2, 7
2020/1/5, 187, , 11, 3, 3, 7
2020/1/6, 174, , 13, 5, 3, 7
2020/1/7, 161, , 10, 5, 2, 18
2020/1/8, 156, , 13, 4, 4, 5
2020/1/9, 132, , 16, 4, 6, 8
2020/1/10, 162, , 16, 5, 5, 8
2020/1/11, 163, , 16, 5, 3, 8
2020/1/12, 171, , 11, 5, 3, 8
2020/1/13, 202, , , , , 
2019/10/1, 104, , 13, 2, 8, 8
2019/10/2, 106, , 15, 1, 3, 6
2019/10/3, 118, , 2, , 18, 6
2019/10/4, 84, , 13, , 14, 6
2019/10/5, 81, , 15, , 3, 6
2019/10/6, 111, , 11, , 2, 6
2019/10/7, 134, , 9, , 2, 6
2019/10/8, 96, , 12, , 2, 6
2019/10/9, 123, , 24, 1, 1, 6
2019/10/10, 155, , 22, 1, 1, 6
2019/10/11, 152, , 20, 1, 3, 7
2019/10/12, 154, , 4, 1, 16, 5
2019/10/13, 165, , 4, 1, 26, 11
2019/10/14, 167, , 11, , 4, 11
2019/10/15, 164, , 12, , 4, 12
2019/10/16, 183, , 12, 13, 4, 9
2019/10/17, 177, , 12, 15, 5, 9
2019/10/18, 154, , 7, 13, 4, 9
2019/10/19, 84, , 11, 12, 6, 9
2019/10/20, 144, , 15, 13, 5, 7
2019/10/21, 159, , 13, 18, 8, 8
2019/10/22, 160, , 13, 29, 15, 13
2019/10/23, 175, , 22, 28, 14, 15
2019/10/24, 196, , 25, 26, 7, 12
2019/10/25, 203, , 24, 20, 5, 13
2019/10/26, 199, , 26, 14, 10, 10
2019/10/27, 200, , 19, 14, 37, 13
2019/10/28, 248, , 23, 28, 4, 16
2019/10/29, 227, , 20, 30, 5, 15
2019/10/30, 211, , 20, 34, 5, 24
2019/10/31, 299, , 22, 25, 4, 20
2019/11/1, 358, , 22, 22, 4, 22
2019/11/2, 352, , 22, 14, 4, 23
2019/11/3, 462, , 24, 16, 4, 15
2019/11/4, 292, , 25, 19, 5, 11
2019/11/5, 186, , 24, 20, 4, 7
2019/11/6, 139, , 21, 20, 4, 10
2019/11/7, 177, , 23, 19, 4, 10
2019/11/8, 166, , 25, 15, 6, 9
2019/11/9, 165, , 29, 15, 4, 9
2019/11/10, 174, , 31, 18, 4, 13
2019/11/11, 214, , 37, 21, 4, 21
2019/11/12, 343, , 24, 18, 4, 19
2019/11/13, 315, , 16, 14, 4, 18
2019/11/14, 268, , 12, 11, 4, 22
2019/11/15, 383, , 11, 7, 4, 11
2019/11/16, 221, , 11, 6, 3, 6
2019/11/17, 152, , 12, 5, 3, 6
2019/11/18, 159, , 18, 13, 4, 8
2019/11/19, 160, , 19, 25, 3, 13
2019/11/20, 190, , 22, 22, 3, 15
2019/11/21, 216, , 29, 17, 4, 13
2019/11/22, 209, , 16, 13, 4, 8
2019/11/23, 165, , 18, 11, 3, 7
2019/11/24, 165, , 16, 16, 4, 10
2019/11/25, 161, , 21, 12, 4, 8
2019/11/26, 163, , 11, 10, 3, 4
2019/11/27, 83, , 13, 8, 3, 3
2019/11/28, 72, , 11, 11, 3, 6
2019/11/29, 105, , 13, 9, 4, 8
2019/11/30, 155, , 16, 9, 3, 8
2019/12/1, 165, , 17, 10, 3, 8
2019/12/2, 173, , 15, 10, 5, 10
2019/12/3, 183, , 16, 13, 4, 13
2019/12/4, 188, , 21, 21, 4, 20
2019/12/5, 202, , 17, 9, 6, 12
2019/12/6, 219, , 15, 10, 7, 9
2019/12/7, 205, , 15, 11, 5, 15
2019/12/8, 215, , 17, 13, 5, 16
2019/12/9, 196, , 17, 14, 5, 20
2019/12/10, 230, , 25, 13, 4, 19
2019/12/11, 291, , 17, 7, 5, 13
2019/12/12, 279, , 13, 5, 4, 6
2019/12/13, 160, , 12, 6, 5, 7
2019/12/14, 132, , 13, 5, 4, 5
2019/12/15, 155, , 13, 5, 4, 5
2019/12/16, 149, , 14, 5, 4, 5
2019/12/17, 148, , 16, 7, 5, 8
2019/12/18, 170, , 15, 5, 4, 12
2019/12/19, 203, , 12, 5, 4, 11
2019/12/20, 211, , 12, 4, 4, 11
2019/12/21, 196, , 12, 5, 3, 9
2019/12/22, 171, , 13, 5, 3, 10
2019/12/23, 179, , 15, 4, 4, 12
2019/12/24, 210, , 12, 4, 3, 9
2019/12/25, 190, , 12, 9, 3, 9
2019/12/26, 209, , 15, 3, 3, 10
2019/12/27, 198, , 13, 3, 5, 12
2019/12/28, 192, , 17, , 4, 14
2019/12/29, 214, , , , , 
2019/7/1, 149, , 12, 6, 19, 11
2019/7/2, 164, , , 6, 14, 26
2019/7/3, 129, , , 5, 5, 20
2019/7/4, 75, , , 7, 15, 23
2019/7/5, 114, , , 8, 14, 18
2019/7/6, 124, , , 6, 11, 16
2019/7/7, 99, , , 6, 5, 13
2019/7/8, 117, , , 5, 10, 9
2019/7/9, 130, , , 7, 6, 8
2019/7/10, 165, , , 6, 3, 6
2019/7/11, 187, , , 6, 10, 6
2019/7/12, 203, , , 5, 6, 6
2019/7/13, 169, , , 4, 4, 6
2019/7/14, 176, , , 5, 9, 6
2019/7/15, 118, , , 6, 6, 6
2019/7/16, 103, , , 4, 6, 6
2019/7/17, 70, , , 3, 5, 6
2019/7/18, 260, , , 7, 4, 6
2019/7/19, 103, , , 6, 2, 6
2019/7/20, 111, , , 6, 3, 6
2019/7/21, 113, , , 7, 3, 6
2019/7/22, 131, , , 9, 3, 6
2019/7/23, 142, , , 5, 3, 6
2019/7/24, 120, , , 3, 3, 6
2019/7/25, 58, , , 5, 6, 6
2019/7/26, 97, , , 4, 4, 6
2019/7/27, 90, , , 4, 5, 6
2019/7/28, 84, , , 5, 4, 6
2019/7/29, 78, , , 4, 5, 6
2019/7/30, 103, , , 4, 3, 6
2019/7/31, 97, , , 5, 4, 6
2019/8/1, 97, , , 5, 3, 6
2019/8/2, 84, , , 4, 3, 6
2019/8/3, 100, , , 3, 3, 8
2019/8/4, 81, , , 5, 3, 18
2019/8/5, 109, , , 5, 6, 6
2019/8/6, 81, , , 4, 4, 7
2019/8/7, 97, , , 4, 4, 11
2019/8/8, 84, , , 3, 4, 6
2019/8/9, 57, , , 2, 8, 6
2019/8/10, 116, , , 3, 5, 6
2019/8/11, 89, , , 1, 6, 7
2019/8/12, 79, , , 2, 4, 12
2019/8/13, 82, , , 2, 6, 6
2019/8/14, 104, , , 2, 13, 6
2019/8/15, 111, , , 2, 6, 6
2019/8/16, 78, , , 2, 4, 6
2019/8/17, 63, , , 2, 3, 6
2019/8/18, 59, , , 2, 4, 6
2019/8/19, 94, , , 1, 5, 6
2019/8/20, 88, , , 2, 3, 6
2019/8/21, 111, , , 1, 7, 6
2019/8/22, 81, , , 2, 4, 6
2019/8/23, 113, , 7, 1, 5, 7
2019/8/24, 124, , 9, 2, 6, 6
2019/8/25, 109, , 10, 2, 4, 6
2019/8/26, 78, , 16, 2, 5, 6
2019/8/27, 99, , 10, 2, 3, 6
2019/8/28, 115, , 8, 2, 4, 6
