date, pm25, pm10, o3, no2, so2, co
2020/5/1, 97, 71, 11, 3, 1, 3
2020/5/2, 92, 51, 11, 3, 1, 3
2020/5/3, 67, 24, 10, 3, 1, 3
2020/5/4, 37, 47, 11, 2, 2, 3
2020/5/5, 70, 61, 11, 3, 5, 3
2020/5/6, 77, 39, 11, 3, 2, 3
2020/5/7, 53, 71, 1, 3, 3, 3
2020/5/8, 93, 92, 21, 3, 3, 4
2020/5/9, 133, 54, 11, 3, 2, 3
2020/5/10, 77, 39, 15, 3, 2, 3
2020/5/11, 59, 33, 11, 3, 2, 3
2020/5/12, 54, 74, 10, 2, 2, 3
2020/5/13, 97, , , , , 
2020/4/1, 43, 23, 6, 1, 1, 3
2020/4/2, 50, 18, 7, 1, 1, 3
2020/4/3, 45, 25, 7, 1, 1, 3
2020/4/4, 54, 23, 9, 1, 2, 3
2020/4/5, 73, 27, 22, 1, 1, 3
2020/4/6, 70, 40, 6, 1, 1, 3
2020/4/7, 56, 35, 8, , 1, 3
2020/4/8, 55, 38, 8, , 1, 3
2020/4/9, 62, 43, 10, , 1, 3
2020/4/10, 64, 41, 10, , 2, 3
2020/4/11, 61, 35, 11, , 2, 3
2020/4/12, 55, 45, 12, , 2, 3
2020/4/13, 64, 61, 15, , 3, 3
2020/4/14, 79, 70, 15, , 3, 3
2020/4/15, 94, 66, 12, , 3, 3
2020/4/16, 82, 51, 10, 1, 2, 3
2020/4/17, 67, 39, 10, 3, 1, 3
2020/4/18, 52, 27, 10, 3, 1, 2
2020/4/19, 48, 44, 8, 3, 2, 3
2020/4/20, 59, 29, 9, 3, 1, 3
2020/4/21, 54, 40, 11, 3, 2, 3
2020/4/22, 65, 56, 14, 3, 2, 3
2020/4/23, 73, 74, 14, 3, 4, 3
2020/4/24, 96, 77, 14, 3, 3, 3
2020/4/25, 101, 37, 11, 3, 2, 2
2020/4/26, 58, 23, 10, 3, 2, 2
2020/4/27, 43, 25, 11, 3, 2, 3
2020/4/28, 52, 56, 12, 3, 2, 3
2020/4/29, 83, 73, 13, 3, 2, 3
2020/4/30, 106, 69, 16, 3, 3, 3
2020/3/1, 53, 61, 10, 4, 3, 6
2020/3/2, 94, 68, 3, 4, 2, 7
2020/3/3, 101, 67, 13, 3, 3, 7
2020/3/4, 105, 45, 12, 2, 4, 6
2020/3/5, 59, 25, 10, 3, 6, 5
2020/3/6, 50, 18, 5, 3, 2, 6
2020/3/7, 46, 40, 4, 3, 2, 7
2020/3/8, 62, 49, 10, 2, 2, 6
2020/3/9, 70, 59, 5, 3, 2, 7
2020/3/10, 81, 54, 7, 3, 3, 7
2020/3/11, 76, 36, 11, 2, 3, 7
2020/3/12, 65, 46, 10, 2, 2, 6
2020/3/13, 65, 24, 3, 2, 1, 7
2020/3/14, 43, 41, 5, 2, 2, 7
2020/3/15, 67, 59, 10, 2, 2, 7
2020/3/16, 91, 64, 11, 2, 2, 8
2020/3/17, 89, 65, 10, 2, 2, 8
2020/3/18, 96, 68, 9, 2, 2, 8
2020/3/19, 105, 77, 9, 2, 3, 5
2020/3/20, 127, 65, 8, 1, 3, 4
2020/3/21, 108, 52, 5, 1, 2, 4
2020/3/22, 80, 39, 6, 1, 1, 4
2020/3/23, 64, 42, 4, 1, 1, 4
2020/3/24, 64, 30, 5, 1, 2, 3
2020/3/25, 45, 38, 4, 1, 1, 3
2020/3/26, 55, 34, 4, 1, 1, 3
2020/3/27, 50, 21, 4, 1, 1, 3
2020/3/28, 43, 14, 5, 1, 1, 3
2020/3/29, 44, 15, 5, 1, 1, 3
2020/3/30, 45, 24, 4, 1, 1, 3
2020/3/31, 53, 22, 6, 1, 1, 3
2020/2/1, 117, 61, 6, 3, 5, 20
2020/2/2, 112, 72, 6, 3, 3, 8
2020/2/3, 122, 85, 8, 3, 5, 7
2020/2/4, 153, 72, 8, 3, 4, 6
2020/2/5, 136, 66, 7, 3, 3, 6
2020/2/6, 116, 80, 7, 4, 5, 7
2020/2/7, 150, 65, 6, 3, 3, 6
2020/2/8, 121, 81, 7, 2, 3, 6
2020/2/9, 147, 87, 8, 3, 3, 7
2020/2/10, 151, 88, 8, 3, 3, 7
2020/2/11, 158, 74, 9, 2, 3, 6
2020/2/12, 134, 63, 7, 2, 3, 6
2020/2/13, 109, 65, 11, 2, 3, 5
2020/2/14, 109, 62, 6, 2, 3, 5
2020/2/15, 95, 69, 6, 2, 3, 6
2020/2/16, 124, 70, 12, 2, 3, 6
2020/2/17, 115, 71, 12, 2, 4, 6
2020/2/18, 131, 93, 15, 3, 7, 7
2020/2/19, 150, 83, 14, 2, 5, 6
2020/2/20, 128, 35, 8, 1, 2, 6
2020/2/21, 57, 54, 5, 2, 2, 6
2020/2/22, 100, 65, 5, 3, 3, 6
2020/2/23, 106, 54, 11, 3, 3, 6
2020/2/24, 77, 73, 10, 2, 4, 6
2020/2/25, 121, 75, 10, 3, 4, 7
2020/2/26, 126, 88, 12, 4, 4, 7
2020/2/27, 158, 83, 12, 3, 5, 6
2020/2/28, 132, 57, 7, 3, 3, 6
2020/2/29, 93, 38, 6, 4, 2, 6
2020/1/1, 158, 79, 2, 8, 6, 10
2020/1/2, 143, 95, 6, 8, 7, 10
2020/1/3, 160, 91, 5, 7, 8, 9
2020/1/4, 150, 81, 3, 6, 6, 9
2020/1/5, 141, 56, 3, 6, 8, 8
2020/1/6, 105, 36, 3, 5, 6, 8
2020/1/7, 72, 38, 4, 4, 6, 7
2020/1/8, 76, 55, 6, 4, 6, 7
2020/1/9, 108, 66, 7, 4, 7, 8
2020/1/10, 129, 71, 6, 5, 7, 8
