date, pm25, pm10, o3, no2, so2, co
2020/5/1, 113, 94, 46, 6, 10, 7
2020/5/2, 110, 150, 38, 5, 8, 2
2020/5/3, 113, 91, 36, 8, 48, 10
2020/5/4, 90, 68, 44, 8, 12, 8
2020/5/5, 81, 106, 35, 6, 9, 7
2020/5/6, 90, 60, 47, 12, 10, 6
2020/5/7, 88, 96, 13, 18, 16, 10
2020/5/10, 87, 103, 59, 9, 16, 12
2020/5/11, 91, 106, 68, 10, 16, 7
2020/5/12, 88, 136, 56, 11, 14, 7
2020/5/13, 88, 136, 53, 12, 16, 10
2020/5/14, 89, 62, 45, 8, 9, 5
2020/5/15, 84, , , , , 
2020/5/18, 95, 117, 32, 17, 41, 20
2020/5/19, 90, , , , , 
2020/4/1, 100, 48, 27, 4, 11, 1
2020/4/2, 100, 44, 29, 4, 13, 1
2020/4/3, 91, 53, 28, 4, 13, 2
2020/4/4, 114, 57, 29, 4, 14, 
2020/4/5, 131, 62, 28, 4, 12, 3
2020/4/6, 137, 57, 24, 3, 10, 2
2020/4/7, 105, 48, 25, 4, 12, 3
2020/4/8, 98, 56, 26, 6, 14, 4
2020/4/9, 120, 59, 26, 6, 14, 4
2020/4/10, 131, 61, 27, 5, 14, 3
2020/4/11, 132, 59, 27, 4, 17, 5
2020/4/12, 118, 73, 30, 4, 21, 5
2020/4/13, 145, 84, 30, 4, 18, 3
2020/4/14, 156, 113, 26, 4, 23, 6
2020/4/15, 187, 80, 28, 3, 17, 1
2020/4/16, 155, 67, 23, 10, 42, 6
2020/4/17, 125, 58, 26, 6, 20, 3
2020/4/18, 99, 46, 26, 7, 5, 5
2020/4/19, 67, 77, 25, 8, 9, 2
2020/4/20, 82, 47, 30, 7, 6, 7
2020/4/21, 86, 74, 30, 8, 12, 6
2020/4/22, 89, 98, 24, 9, 16, 8
2020/4/23, 89, 86, 31, 8, 15, 3
2020/4/24, 89, 95, 29, 8, 8, 7
2020/4/25, 89, 109, 29, 7, 10, 5
2020/4/26, 99, 62, 32, 6, 6, 1
2020/4/27, 113, 58, 39, 6, 7, 4
2020/4/28, 112, 93, 41, 9, 9, 2
2020/4/29, 108, 123, 42, 8, 12, 8
2020/4/30, 110, 114, 40, 7, 13, 5
2020/3/1, 80, 69, 30, 17, 8, 3
2020/3/2, 148, 71, 20, 14, 7, 2
2020/3/3, 145, 77, 38, 14, 7, 3
2020/3/4, 153, 34, 28, 12, 4, 2
2020/3/5, 86, 23, 22, 11, 2, 2
2020/3/6, 59, 29, 11, 10, 9, 5
2020/3/7, 73, 55, 33, 12, 8, 5
2020/3/8, 125, 62, 28, 8, 13, 3
2020/3/9, 119, 67, 28, 6, 11, 2
2020/3/10, 135, 52, 26, 6, 8, 3
2020/3/11, 132, 54, 24, 6, 8, 2
2020/3/12, 111, 76, 24, 5, 11, 2
2020/3/13, 130, 68, 17, 6, 10, 2
2020/3/14, 144, 54, 26, 6, 9, 2
2020/3/15, 130, 70, 23, 8, 12, 3
2020/3/16, 144, 84, 27, 10, 21, 3
2020/3/17, 159, 84, 27, 10, 17, 4
2020/3/18, 163, 77, 33, 10, 11, 5
2020/3/19, 154, 75, 35, 10, 18, 4
2020/3/20, 159, 80, 34, 10, 22, 4
2020/3/21, 160, 70, 32, 10, 14, 3
2020/3/22, 156, 56, 32, 8, 12, 3
2020/3/23, 123, 63, 31, 4, 16, 2
2020/3/24, 139, 50, 29, 4, 12, 2
2020/3/25, 114, 55, 22, 4, 11, 2
2020/3/26, 117, 32, 20, 3, 9, 1
2020/3/27, 75, 22, 24, 4, 8, 1
