date,ludhiana pm 2.5
2019/10/1,108
2019/10/2,120
2019/10/3,105
2019/10/4,64
2019/10/5,84
2019/10/6,121
2019/10/7,113
2019/10/8,87
2019/10/9,117
2019/10/10,109
2019/10/11,130
2019/10/12,148
2019/10/13,149
2019/10/14,149
2019/10/15,164
2019/10/16,172
2019/10/17,167
2019/10/18,137
2019/10/19,117
2019/10/20,130
2019/10/21,155
2019/10/22,159
2019/10/23,162
2019/10/24,167
2019/10/25,169
2019/10/26,175
2019/10/27,202
2019/10/28,275
2019/10/29,182
2019/10/30,183
2019/10/31,189
2019/11/1,195
2019/11/2,194
2019/11/3,236
2019/11/4,161
2019/11/5,162
2019/11/6,205
2019/11/7,109
2019/11/8,86
2019/11/9,115
2019/11/10,160
2019/11/11,180
2019/11/12,187
2019/11/13,181
2019/11/14,183
2019/11/15,165
2019/11/16,133
2019/11/17,102
2019/11/18,130
2019/11/19,166
2019/11/20,167
2019/11/21,171
2019/11/22,155
2019/11/23,116
2019/11/24,122
2019/11/25,133
2019/11/26,137
2019/11/27,98
2019/11/28,98
2019/11/29,83
2019/11/30,83
2019/12/1,127
2019/12/2,134
2019/12/3,148
2019/12/4,186
2019/12/5,189
2019/12/6,143
2019/12/7,143
2019/12/8,147
2019/12/9,171
2019/12/10,176
2019/12/11,196
2019/12/12,147
2019/12/13,84
2019/12/14,116
2019/12/15,78
2019/12/16,102
2019/12/17,119
2019/12/18,113
2019/12/19,152
2019/12/20,163
2019/12/21,128
2019/12/22,108
2019/12/23,146
2019/12/24,172
2019/12/25,113
2019/12/26,139
2019/12/27,151
2019/12/28,133
2019/12/29,148
2019/7/1,147
2019/7/2,134
2019/7/3,146
2019/7/4,96
2019/7/5,74
2019/7/6,102
2019/7/7,86
2019/7/8,112
2019/7/9,91
2019/7/10,114
2019/7/11,142
2019/7/12,132
2019/7/13,123
2019/7/14,119
2019/7/15,130
2019/7/16,86
2019/7/17,76
2019/7/18,118
2019/7/19,95
2019/7/20,108
2019/7/21,96
2019/7/22,95
2019/7/23,118
2019/7/24,89
2019/7/25,72
2019/7/26,75
2019/7/27,77
2019/7/28,68
2019/7/29,79
2019/7/30,98
2019/7/31,79
2019/8/1,103
2019/8/2,78
2019/8/3,90
2019/8/4,105
2019/8/5,118
2019/8/6,94
2019/8/7,87
2019/8/8,85
2019/8/9,104
2019/8/10,81
2019/8/11,74
2019/8/12,80
2019/8/13,104
2019/8/14,78
2019/8/15,66
2019/8/16,85
2019/8/17,77
2019/8/18,41
2019/8/19,59
2019/8/20,81
2019/8/21,97
2019/8/22,71
2019/8/23,88
2019/8/24,194
2019/8/25,82
2019/8/26,85
2019/8/27,63
2019/8/28,75
2019/8/29,83
2019/8/30,106
2019/8/31,93
2019/9/1,67
2019/9/2,56
2019/9/3,89
2019/9/4,99
2019/9/5,66
2019/9/6,70
2019/9/7,97
2019/9/8,119
2019/9/9,98
2019/9/10,121
2019/9/11,124
2019/9/12,136
2019/9/13,99
2019/9/14,120
2019/9/15,100
2019/9/16,96
2019/9/17,111
2019/9/18,112
2019/9/19,82
2019/9/20,109
2019/9/21,99
2019/9/22,113
2019/9/23,108
2019/9/24,133
2019/9/25,133
2019/9/26,113
2019/9/27,78
2019/9/28,91
2019/9/29,66
2019/9/30,77
2019/6/15,134
2019/6/16,98
2019/6/17,121
2019/6/18,109
2019/6/19,146
2019/6/20,140
2019/6/21,102
2019/6/22,104
2019/6/23,120
2019/6/24,81
2019/6/25,72
2019/6/26,99
2019/6/27,121
2019/6/28,123
2019/6/29,147
2019/6/30,144
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2019/4/1,108
2019/4/2,131
2019/4/3,128
2019/4/4,160
2019/4/5,151
2019/4/6,163
2019/4/7,119
2019/4/8,159
2019/4/9,155
2019/4/10,131
2019/4/11,112
2019/4/12,119
2019/4/13,112
2019/4/14,108
2019/4/15,101
2019/4/16,103
2019/4/17,97
2019/4/18,73
2019/4/19,87
2019/4/20,103
2019/4/21,113
2019/4/22,121
2019/4/23,124
2019/4/24,142
2019/4/25,132
2019/4/26,112
2019/4/27,119
2019/4/28,132
2019/4/29,130
2019/4/30,115
2019/5/1,106
2019/5/2,113
2019/5/3,101
2019/5/4,114
2019/5/5,131
2019/5/6,122
2019/5/7,131
2019/5/8,128
2019/5/9,159
2019/5/10,159
2019/5/11,127
2019/5/12,151
2019/5/13,175
2019/5/14,109
2019/5/15,139
2019/5/16,124
2019/5/17,113
2019/5/18,96
2019/5/19,131
2019/5/20,137
2019/5/21,129
2019/5/22,154
2019/5/23,134
2019/5/24,109
2019/5/25,83
2019/5/26,118
2019/5/27,115
2019/5/28,131
2019/5/29,146
2019/5/30,147
2019/5/31,151
2019/6/1,181
2019/6/2,163
2019/6/3,152
2019/6/4,125
2019/6/5,150
2019/6/6,137
2019/6/7,109
2019/6/8,768
2019/6/10,126
2019/6/11,135
2019/6/12,123
2019/6/13,110
2019/6/14,117
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2019/1/1,155
2019/1/2,160
2019/1/3,143
2019/1/4,59
2019/1/5,131
2019/1/6,88
2019/1/7,75
2019/1/8,93
2019/1/9,94
2019/1/10,106
2019/1/11,142
2019/1/12,134
2019/1/13,82
2019/1/14,75
2019/1/15,89
2019/1/16,137
2019/1/17,154
2019/1/18,118
2019/1/19,120
2019/1/20,170
2019/1/21,68
2019/1/22,66
2019/1/23,50
2019/1/24,59
2019/1/25,75
2019/1/26,53
2019/1/27,67
2019/1/28,69
2019/1/29,42
2019/1/30,105
2019/1/31,119
2019/2/1,111
2019/2/2,60
2019/2/3,79
2019/2/4,90
2019/2/5,132
2019/2/6,144
2019/2/7,90
2019/2/8,63
2019/2/9,68
2019/2/10,85
2019/2/11,81
2019/2/12,96
2019/2/13,110
2019/2/14,115
2019/2/15,82
2019/2/16,82
2019/2/17,73
2019/2/18,122
2019/2/19,84
2019/2/20,111
2019/2/21,108
2019/2/22,54
2019/2/23,92
2019/2/24,105
2019/2/25,162
2019/2/26,163
