date, pm25, pm10, o3, no2, so2, co
2020/5/1, 163, 110, 21, 10, 29, 8
2020/5/2, 149, 75, 19, 7, 14, 8
2020/5/3, 113, 31, 16, 9, 15, 3
2020/5/4, 61, 76, 20, 10, 3, 2
2020/5/5, 107, 161, 15, 8, 4, 1
2020/5/6, 125, 70, 16, 8, 6, 2
2020/5/7, 105, 107, 15, 11, 11, 4
2020/5/8, 160, 125, 19, 12, 19, 5
2020/5/9, 172, 104, 20, 11, 7, 3
2020/5/10, 149, 138, 17, 7, 7, 2
2020/5/11, 141, 115, 18, 7, 6, 3
2020/5/12, 153, 133, 17, 9, 10, 3
2020/5/13, 148, 89, 12, 7, 1, 2
2020/5/14, 154, , , , , 
2020/4/1, 80, 52, 9, 6, 2, 5
2020/4/2, 88, 48, 9, 6, 2, 4
2020/4/3, 82, 57, 9, 10, 27, 4
2020/4/4, 103, 62, 8, 10, 3, 5
2020/4/5, 102, 67, 8, 8, 4, 6
2020/4/6, 123, 68, 7, 6, 2, 5
2020/4/7, 95, 55, 7, 6, 2, 5
2020/4/8, 86, 62, 8, 8, 3, 6
2020/4/9, 106, 68, 7, 8, 4, 6
2020/4/10, 120, 64, 7, 7, 3, 5
2020/4/11, 99, 67, 7, 7, 5, 6
2020/4/12, 103, 77, 8, 8, 7, 7
2020/4/13, 128, 120, 8, 10, 6, 7
2020/4/14, 136, 124, 5, 9, 5, 5
2020/4/15, 142, 79, 8, 9, 31, 5
2020/4/16, 101, 74, 6, 7, 3, 4
2020/4/17, 96, 79, 10, 7, 3, 4
2020/4/18, 86, 58, 10, 7, 30, 4
2020/4/19, 95, 76, 9, 8, 5, 5
2020/4/20, 93, 52, 12, 8, 4, 6
2020/4/21, 87, 76, 11, 9, 8, 7
2020/4/22, 117, 84, 9, 14, 24, 7
2020/4/23, 131, 80, 12, 11, 41, 7
2020/4/24, 129, 67, 12, 8, 4, 6
2020/4/25, 97, 121, 15, 9, 8, 8
2020/4/26, 145, 66, 14, 7, 4, 7
2020/4/27, 102, 70, 18, 7, 4, 8
2020/4/28, 117, 104, 15, 9, 6, 8
2020/4/29, 148, 177, 14, 9, 5, 6
2020/4/30, 155, 151, 15, 9, 8, 7
2020/3/1, 121, 65, 9, 16, 6, 4
2020/3/2, 136, 77, 6, 17, 7, 4
2020/3/3, 145, 88, 13, 16, 10, 4
2020/3/4, 163, 67, 12, 13, 51, 3
2020/3/5, 160, 31, 10, 12, 68, 2
2020/3/6, 79, 44, 8, 13, 5, 3
2020/3/7, 91, 68, 10, 18, 6, 4
2020/3/8, 128, 65, 9, 12, 5, 2
