date, pm25, pm10, o3, no2, so2, co
2020/5/1, 138, 91, 15, 4, 13, 3
2020/5/2, 118, 56, 22, 7, 27, 3
2020/5/3, 81, 34, 13, 8, 5, 4
2020/5/4, 53, 82, 16, 9, 2, 3
2020/5/5, 99, 95, 14, 11, , 5
2020/5/6, 126, 59, 11, 11, 3, 2
2020/5/7, 81, 94, 13, 13, 4, 5
2020/5/8, 130, 115, 20, 11, 1, 6
2020/5/9, 150, 67, 35, 10, 11, 4
2020/5/10, 105, 50, 15, 11, , 3
2020/5/11, 73, 51, 12, 9, 2, 2
2020/5/12, 78, 95, 12, 9, 1, 5
2020/5/13, 143, , , , , 
2020/4/1, 61, 43, 7, 5, 2, 2
2020/4/2, 60, 38, 6, 5, 3, 1
2020/4/3, 52, 43, 7, 6, 3, 2
2020/4/4, 61, 56, 12, 7, 3, 3
2020/4/5, 87, 62, 9, 8, 2, 3
2020/4/6, 96, 49, 6, 6, 2, 2
2020/4/7, 65, 41, 6, 5, 2, 1
2020/4/8, 58, 46, 7, 6, 2, 2
2020/4/9, 69, 52, 6, 8, 2, 3
2020/4/10, 83, 54, 7, 7, 2, 3
2020/4/11, 77, 45, 8, 7, 2, 3
2020/4/12, 67, 55, 9, 7, 2, 3
2020/4/13, 85, 80, 11, 9, 2, 4
2020/4/14, 113, 98, 11, 10, 3, 5
2020/4/15, 145, 66, 9, 8, 3, 3
2020/4/16, 110, 55, 9, 7, 2, 2
2020/4/17, 77, 44, 7, 9, 5, 3
2020/4/18, 65, 46, 6, 10, 2, 2
2020/4/19, 71, 70, 10, 11, 38, 5
2020/4/20, 116, 42, 8, 9, 11, 1
2020/4/21, 68, 67, 8, 7, 3, 2
2020/4/22, 90, 87, 10, 5, 3, 3
2020/4/23, 117, 88, 10, 4, 3, 4
2020/4/24, 121, 109, 9, 4, 25, 6
2020/4/25, 137, 71, 14, 13, 2, 3
2020/4/26, 98, 43, 12, 5, 1, 3
2020/4/27, 59, 45, 12, 4, 2, 4
2020/4/28, 68, 81, 17, 6, 2, 4
2020/4/29, 118, 101, 17, 5, 2, 5
2020/4/30, 146, 93, 16, 5, 2, 4
2020/3/1, 70, 71, 9, 10, 3, 4
2020/3/2, 97, 86, 7, 12, 1, 5
2020/3/3, 121, 88, 11, 13, 3, 5
2020/3/4, 135, 45, 9, 11, 3, 3
2020/3/5, 68, 32, 8, 11, 1, 3
2020/3/6, 44, 36, 7, 11, 13, 3
2020/3/7, 60, 59, 10, 11, 4, 5
2020/3/8, 88, 61, 7, 9, 5, 2
2020/3/9, 65, 77, 7, 9, 1, 3
2020/3/10, 93, 69, 10, 9, 2, 5
2020/3/11, 96, 55, 10, 8, 1, 4
2020/3/12, 83, 63, 8, 8, 2, 2
2020/3/13, 89, 41, 6, 8, 2, 3
2020/3/14, 71, 44, 8, 8, , 3
2020/3/15, 77, 63, 8, 6, 3, 3
2020/3/16, 87, 67, 9, 4, 3, 4
2020/3/17, 102, 70, 11, 6, 8, 5
2020/3/18, 109, 77, 11, 7, 3, 2
2020/3/19, 114, 100, 16, 9, 2, 5
2020/3/20, 136, 85, 11, 11, 1, 4
2020/3/21, 135, 54, 10, 10, 2, 2
2020/3/22, 90, 62, 8, 8, 4, 3
2020/3/23, 89, 63, 12, 8, 2, 4
2020/3/24, 94, 47, 12, 8, 2, 3
2020/3/25, 73, 43, 10, 7, 2, 2
2020/3/26, 66, 37, 9, 7, 2, 2
2020/3/27, 59, 28, 8, 8, 2, 3
2020/3/28, 56, 36, 7, 7, 2, 1
2020/3/29, 60, 41, 7, 6, 2, 1
2020/3/30, 64, 44, 6, 6, 2, 2
2020/3/31, 63, 38, 6, 6, 2, 2
2020/2/1, 118, 61, 9, 12, 2, 6
2020/2/2, 110, 111, 10, 17, 3, 8
2020/2/3, 139, 83, 13, 20, 3, 9
2020/2/4, 158, 96, 9, 12, 4, 5
2020/2/5, 134, 86, 9, 14, 3, 5
2020/2/6, 121, 100, 8, 17, 3, 7
2020/2/7, 143, 79, 9, 11, 4, 6
2020/2/8, 130, 86, 11, 16, 2, 9
2020/2/9, 150, 94, 9, 12, 5, 6
2020/2/10, 139, 128, 15, 11, 3, 9
2020/2/11, 160, 93, 9, 12, 3, 6
2020/2/12, 132, 87, 9, 11, 3, 6
2020/2/13, 111, 77, 9, 10, 3, 3
2020/2/14, 96, 67, 9, 11, 3, 5
2020/2/15, 100, 72, 10, 12, 1, 6
2020/2/16, 128, 73, 9, 12, 3, 6
2020/2/17, 125, 73, 8, 12, 3, 6
2020/2/18, 110, 100, 12, 15, 3, 7
2020/2/19, 143, 113, 11, 14, 5, 7
2020/2/20, 144, 42, 8, 10, 1, 3
2020/2/21, 68, 60, 9, 10, 2, 4
2020/2/22, 90, 61, 10, 11, 1, 5
2020/2/23, 104, 60, 11, 11, 1, 4
2020/2/24, 100, 79, 12, 10, 3, 6
2020/2/25, 144, 91, 13, 13, 2, 8
2020/2/26, 150, 94, 13, 14, 3, 9
2020/2/27, 157, 91, 13, 13, 2, 7
2020/2/28, 150, 71, 9, 11, 4, 7
2020/2/29, 120, 54, 9, 12, 1, 4
2020/1/1, 165, 91, 6, 20, 2, 8
2020/1/2, 150, 98, 7, 22, 3, 9
2020/1/3, 161, 101, 8, 20, 3, 9
2020/1/4, 163, 84, 6, 17, 1, 7
2020/1/5, 154, 64, 3, 17, 2, 7
2020/1/6, 133, 40, 4, 14, 1, 6
2020/1/7, 88, 52, 4, 13, 2, 6
2020/1/8, 97, 51, 4, 13, 2, 6
2020/1/9, 100, 80, 6, 16, 17, 10
2020/1/10, 122, 90, 6, 19, 10, 7
2020/1/11, 136, 96, 5, 18, 3, 8
2020/1/12, 153, 101, 6, 21, 10, 12
2020/1/13, 163, 47, 10, 16, 3, 5
2020/1/14, 85, 68, 5, 13, 3, 5
2020/1/15, 104, 71, 4, 13, 2, 6
2020/1/16, 116, 71, 3, 15, 3, 7
2020/1/17, 124, 76, 4, 14, 3, 7
2020/1/18, 131, 64, 4, 14, 1, 6
2020/1/19, 131, 87, 4, 14, 3, 8
2020/1/20, 153, 105, 5, 15, 4, 10
2020/1/21, 160, 75, 6, 13, 1, 7
2020/1/22, 106, 71, 9, 11, 3, 4
2020/1/23, 96, 68, 9, 11, 3, 5
2020/1/24, 102, 95, 10, 14, 3, 7
2020/1/25, 158, 74, 12, 15, 1, 8
2020/1/26, 144, 83, 7, 16, 3, 9
2020/1/27, 155, 140, 12, 12, 13, 8
2020/1/28, 111, 274, 10, 11, 5, 6
2020/1/29, 90, 62, 13, 9, 4, 4
2020/1/30, 84, 60, 7, 12, 3, 5
2020/1/31, 103, 188, 9, 13, 4, 7
2019/10/1, 79, 66, 9, 17, 4, 5
2019/10/2, 87, 74, 8, 15, 2, 6
2019/10/3, 109, 47, 8, 11, 3, 4
2019/10/4, 64, 48, 9, 12, 3, 4
2019/10/5, 62, 64, 9, 16, 2, 5
2019/10/6, 83, 73, 9, 17, 2, 4
2019/10/7, 85, 59, 8, 18, 3, 4
2019/10/8, 84, 90, 9, 22, 3, 6
2019/10/9, 119, 102, 23, 17, 3, 6
2019/10/10, 118, 91, 30, 16, 3, 7
2019/10/11, 114, 117, 29, 16, 2, 8
2019/10/12, 146, 111, 25, 17, 4, 9
2019/10/13, 154, 105, 16, 17, 4, 8
2019/10/14, 149, 139, 16, 19, 3, 10
2019/10/15, 155, 190, 24, 16, 3, 11
2019/10/16, 171, 132, 20, 15, 3, 9
2019/10/17, 143, 109, 19, 14, 3, 8
2019/10/18, 112, 95, 20, 17, 3, 7
2019/10/19, 100, 84, 18, 18, 2, 6
2019/10/20, 72, 85, 19, 26, 3, 7
2019/10/21, 77, 117, 21, 21, 3, 7
2019/10/22, 98, 143, 22, 18, 3, 7
2019/10/23, 147, 227, 25, 23, 3, 11
2019/10/24, 165, 178, 21, 24, 2, 11
2019/10/25, 160, 205, 22, 22, 2, 11
2019/10/26, 165, 296, 22, 23, 2, 14
2019/10/27, 178, 258, 16, 21, 4, 13
2019/10/28, 168, 366, 11, 24, 5, 20
2019/10/29, 195, 467, 6, 25, 3, 22
2019/10/30, 163, 591, 16, 23, 4, 21
2019/10/31, 230, 515, 14, 19, 4, 20
2019/11/1, 223, 417, 13, 21, 3, 19
2019/11/2, 186, 635, 14, 23, 4, 29
2019/11/3, 272, 333, 36, 21, 4, 19
2019/11/4, 258, 268, 19, 18, 4, 15
2019/11/5, 223, 210, 17, 16, 4, 13
2019/11/6, 201, 74, 17, 14, 4, 5
2019/11/7, 114, 86, 20, 15, 4, 5
2019/11/8, 108, 161, 22, 14, 3, 8
2019/11/9, 140, 209, 25, 16, 3, 13
2019/11/10, 188, 256, 23, 20, 4, 17
2019/11/11, 220, 215, 28, 18, 3, 18
2019/11/12, 217, 170, 27, 19, 3, 15
2019/11/13, 202, 134, 27, 20, 3, 13
2019/11/14, 181, 204, 28, 19, 3, 15
2019/11/15, 204, 86, 25, 14, 3, 7
2019/11/16, 140, 53, 30, 12, 3, 5
2019/11/17, 94, 68, 27, 15, 4, 6
2019/11/18, 114, 145, 23, 18, 5, 11
2019/11/19, 138, 183, 38, 21, 2, 12
2019/11/20, 169, 128, 23, 21, 3, 11
2019/11/21, 166, 112, 25, 17, 1, 10
2019/11/22, 162, 73, 21, 14, 2, 5
2019/11/23, 118, 71, 26, 15, 2, 6
2019/11/24, 121, 73, 23, 14, 4, 5
2019/11/25, 125, 67, 21, 14, 4, 6
2019/11/26, 110, 45, 20, 14, 3, 5
2019/11/27, 75, 41, 24, 13, 2, 4
2019/11/28, 63, 58, 29, 15, 4, 6
2019/11/29, 75, 81, 31, 13, 3, 6
2019/11/30, 97, 86, 36, 15, 2, 6
2019/12/1, 125, 104, 38, 17, 3, 9
2019/12/2, 148, 112, 32, 20, 3, 9
2019/12/3, 150, 121, 35, 26, 4, 12
2019/12/4, 168, 130, 38, 29, 3, 12
2019/12/5, 177, 111, 30, 20, 3, 10
2019/12/6, 166, 105, 28, 20, 4, 10
2019/12/7, 151, 157, 32, 23, 1, 11
2019/12/8, 159, 157, 35, 22, 2, 10
2019/12/9, 167, 228, 30, 26, 2, 14
2019/12/10, 194, 176, 31, 24, 2, 16
2019/12/11, 199, 134, 24, 15, 2, 11
2019/12/12, 176, 55, 21, 11, 1, 5
2019/12/13, 98, 59, 16, 10, 1, 5
2019/12/14, 108, 58, 18, 11, 1, 6
2019/12/15, 99, 58, 13, 9, 1, 5
2019/12/16, 100, 71, 13, 9, 3, 6
2019/12/17, 129, 69, 11, 10, 2, 7
2019/12/18, 132, 124, 15, 15, 4, 11
2019/12/19, 154, 125, 14, 17, 2, 10
2019/12/20, 166, 122, 9, 15, 2, 11
2019/12/21, 165, 72, 10, 17, 1, 11
2019/12/22, 140, 80, 9, 13, , 8
2019/12/23, 152, 88, 12, 13, 2, 7
2019/12/24, 160, 82, 4, 11, , 6
2019/12/25, 157, 78, 5, 11, 1, 6
2019/12/26, 155, 104, 5, 12, 2, 8
2019/12/27, 169, 128, 4, 17, 5, 8
2019/12/28, 171, 100, 5, 16, 17, 8
2019/12/29, 153, , , , , 
2019/7/1, 163, 92, 35, 2, 3, 3
2019/7/2, 142, 81, 27, 2, 3, 4
2019/7/3, 152, 51, 12, 2, 2, 3
2019/7/4, 94, 53, 21, 2, 3, 3
2019/7/5, 97, 73, 24, 3, 2, 4
2019/7/6, 120, 59, 28, 2, 3, 4
2019/7/7, 113, 82, 28, 2, 2, 4
2019/7/8, 135, 79, 21, 2, 3, 3
2019/7/9, 128, 145, 25, 2, 3, 3
2019/7/10, 126, 269, 23, 2, 3, 3
2019/7/11, 179, 138, 22, 2, 3, 2
2019/7/12, 161, 234, 18, 2, 2, 3
2019/7/13, 179, 80, 24, 2, 3, 3
2019/7/14, 123, 52, 20, 3, 2, 2
2019/7/15, 111, 55, 25, 3, 2, 2
2019/7/16, 120, 54, 28, 3, 2, 2
2019/7/17, 97, 62, 29, 3, 2, 3
2019/7/18, 104, 58, 36, 3, 2, 3
2019/7/19, 105, 55, 34, 2, 2, 3
2019/7/20, 129, 56, 33, 2, 3, 4
2019/7/21, 129, 63, 23, 2, 2, 3
2019/7/22, 142, 64, 35, 2, 2, 4
2019/7/23, 154, 65, 43, 2, 2, 4
2019/7/24, 144, 45, 23, 2, 2, 2
2019/7/25, 88, 46, 22, 2, 3, 3
2019/7/26, 111, 25, 18, 2, 2, 3
2019/7/27, 76, 26, 18, 2, 3, 3
2019/7/28, 72, 39, 19, 2, 3, 2
2019/7/29, 73, 58, 20, 2, 3, 3
2019/7/30, 89, 39, 16, 3, 2, 3
2019/7/31, 72, 54, 26, 3, 2, 3
2019/8/1, 105, 42, 16, 2, 2, 3
2019/8/2, 94, 38, 19, 3, 3, 3
2019/8/3, 87, 42, 16, 2, 3, 3
2019/8/4, 101, 54, 25, 2, 3, 3
2019/8/5, 124, 52, 19, 2, 3, 3
2019/8/6, 113, 39, 21, 2, 2, 3
2019/8/7, 86, 45, 27, 2, 2, 3
2019/8/8, 96, 46, 18, 2, 3, 3
2019/8/9, 96, 51, 19, 2, 3, 3
2019/8/10, 81, 44, 18, 2, 3, 3
2019/8/11, 90, 48, 16, 2, 3, 3
2019/8/12, 110, 37, 16, 2, 3, 3
2019/8/13, 80, 43, 19, 3, 2, 4
2019/8/14, 104, 38, 17, 2, 3, 4
2019/8/15, 93, 33, 12, 2, 3, 3
2019/8/16, 88, 19, 9, 2, 3, 3
2019/8/17, 112, 21, 17, 2, 2, 3
2019/8/20, 63, 73, 23, 4, 1, 5
2019/8/21, 62, 87, 13, 4, 1, 4
2019/8/22, 98, 79, 11, 3, 1, 3
2019/8/23, 107, 69, 12, 2, 1, 5
2019/8/24, 91, 53, 12, 2, , 5
2019/8/25, 82, 34, 11, 2, 1, 4
2019/8/26, 63, 47, 13, 3, 1, 4
2019/8/27, 69, 53, 17, 4, 2, 4
2019/8/28, 80, 58, 14, 3, 2, 5
2019/8/29, 86, 56, 15, 3, 1, 5
2019/8/30, 75, 70, 14, 3, 1, 6
2019/8/31, 94, 61, 14, 3, 1, 5
2019/9/1, 92, 51, 14, 2, 1, 4
2019/9/2, 69, 59, 15, 2, 2, 4
2019/9/3, 88, 68, 13, 2, 2, 5
2019/9/4, 99, 39, 25, 2, 2, 4
2019/9/5, 60, 50, 14, 4, 2, 4
2019/9/6, 73, 65, 20, 2, 3, 4
2019/9/7, 84, 63, 20, 2, 1, 4
2019/9/8, 81, 77, 24, 2, 1, 5
2019/9/9, 110, 88, 20, 2, 2, 6
2019/9/10, 130, 85, 10, 3, 2, 5
2019/9/11, 127, 81, 9, 3, 3, 6
2019/9/12, 135, 56, 11, 2, 4, 4
2019/9/13, 82, 56, 14, 2, 4, 5
2019/9/14, 80, 40, 14, 1, 4, 4
2019/9/15, 59, 57, 15, 2, 4, 5
2019/9/16, 93, 67, 20, 2, 3, 4
2019/9/17, 93, 80, 19, 4, 3, 5
2019/9/18, 89, 49, 13, 4, 3, 3
2019/9/19, 60, 54, 16, 4, 3, 4
2019/9/20, 72, 63, 14, 5, 3, 5
2019/9/21, 85, 62, 5, 4, 3, 5
2019/9/22, 75, 53, 7, 4, 3, 4
2019/9/23, 66, 62, 12, 5, 3, 4
2019/9/24, 83, 59, 9, 4, 4, 4
2019/9/25, 78, 58, 8, 4, 4, 5
2019/9/26, 71, 50, 7, 5, 4, 4
2019/9/27, 62, 52, 6, 20, 3, 4
2019/9/28, 50, 45, 6, 30, 3, 4
2019/9/29, 47, 52, 7, 26, 4, 6
2019/9/30, 65, 62, 6, 17, 3, 5
2019/6/15, 146, 60, 17, 3, 1, 2
2019/6/16, 104, 80, 20, 3, 1, 2
2019/6/17, 123, 53, 15, 4, 2, 3
2019/6/18, 104, 104, 22, 4, 2, 4
2019/6/19, 159, 93, 23, 4, 2, 3
2019/6/20, 143, 67, 37, 4, 2, 3
2019/6/21, 137, 74, 40, 3, 2, 4
