date, pm25, pm10, o3, no2, so2, co
2020/5/1, 148, 73, 27, 2, 17, 2
2020/5/2, 158, 65, 28, 2, 28, 2
2020/5/3, 133, 42, 23, 3, 7, 4
2020/5/4, 90, 63, 27, 4, 2, 3
2020/5/5, 127, 63, 29, 3, 4, 3
2020/5/6, 143, 44, 32, 7, 20, 3
2020/5/7, 121, 77, 38, 7, 23, 4
2020/5/8, 167, 84, 38, 6, 24, 5
2020/5/9, 165, 62, 24, 3, 43, 3
2020/5/10, 131, 35, 27, 3, , 2
2020/5/11, 81, 39, 33, 4, 17, 2
2020/5/12, 84, 67, 11, 4, 39, 3
2020/5/13, 151, , , , , 
2020/4/1, 82, 48, 12, 1, 7, 1
2020/4/2, 77, 30, 12, 1, 8, 1
2020/4/3, 64, 44, 12, 2, 4, 1
2020/4/4, 81, 58, 14, 4, 7, 2
2020/4/5, 105, 61, 13, 3, 7, 2
2020/4/6, 118, 71, 11, 2, 7, 1
2020/4/7, 105, 52, 11, 2, 6, 1
2020/4/8, 84, 57, 12, 2, 9, 1
2020/4/9, 104, 66, 11, 3, 11, 2
2020/4/10, 114, 99, 12, 3, 13, 2
2020/4/11, 120, , 12, 2, 14, 1
2020/4/12, 86, 35, 14, 2, 20, 2
2020/4/13, 107, 57, 17, 5, 30, 3
2020/4/14, 140, 73, 18, 6, 33, 4
2020/4/15, 160, 74, 19, 6, 31, 3
2020/4/16, 155, 56, 12, 3, 27, 1
2020/4/17, 109, 33, 15, 2, 56, 1
2020/4/18, 81, 32, 14, 5, 17, 1
2020/4/19, 79, 323, 17, 5, 5, 2
2020/4/20, 135, 29, 14, 4, 3, 2
2020/4/21, 83, 42, 14, 7, 5, 2
2020/4/22, 118, 50, 20, 5, 19, 5
2020/4/23, 128, 73, 24, 7, 38, 4
2020/4/24, 160, 71, 18, 5, 40, 3
2020/4/25, 144, 50, 17, 3, 78, 3
2020/4/26, 121, 37, 21, 2, 3, 2
2020/4/27, 77, 46, 25, 3, 5, 2
2020/4/28, 85, 74, 36, 4, 12, 4
2020/4/29, 161, 72, 33, 4, 14, 3
2020/4/30, 159, 75, 31, 4, 17, 3
2020/3/1, 92, 97, 15, 10, 9, 5
2020/3/2, 149, 103, 5, 14, 7, 7
2020/3/3, 151, 152, 13, 11, 7, 5
2020/3/4, 166, 47, 15, 8, 14, 4
2020/3/5, 94, 34, 8, 7, 28, 2
2020/3/6, 73, 37, 7, 8, 11, 3
2020/3/7, 74, 55, 11, 7, 15, 3
2020/3/8, 108, 64, 7, 4, 17, 2
2020/3/9, 113, 66, 9, 4, 22, 3
2020/3/10, 126, 79, 10, 7, 23, 3
2020/3/11, 141, 58, 11, 8, 23, 3
2020/3/12, 111, 56, 9, 6, 18, 2
2020/3/13, 108, 41, 8, 8, 18, 2
2020/3/14, 78, 56, 9, 7, 58, 2
2020/3/15, 113, 69, 19, 5, 7, 3
2020/3/16, 129, 83, 10, 6, 25, 4
2020/3/17, 146, 85, 12, 4, 32, 3
2020/3/18, 152, 91, 12, 8, 32, 5
2020/3/19, 159, 103, 14, 11, 34, 5
2020/3/20, 163, 117, 17, 10, 38, 6
2020/3/21, 176, 61, 13, 4, 35, 2
2020/3/22, 133, 86, 12, 4, 36, 2
2020/3/23, 132, 69, 16, 6, 42, 3
2020/3/24, 148, 57, 12, 3, 40, 1
2020/3/25, 105, 186, 10, 1, 42, 1
2020/3/26, 88, 16, 9, 2, 44, 1
2020/3/27, 84, 18, 11, 1, 52, 1
2020/3/28, 66, 37, 11, , 2, 1
2020/3/29, 72, 37, 11, , 3, 1
2020/3/30, 79, 46, 10, 1, 4, 1
2020/3/31, 99, 57, 10, 1, 5, 1
2020/2/1, 158, 85, 8, 7, 1, 5
2020/2/2, 160, 125, 14, 11, 6, 10
2020/2/3, 169, 137, 11, 13, 6, 8
2020/2/4, 187, 107, 7, 8, 4, 5
2020/2/5, 164, 104, 7, 16, 5, 6
2020/2/6, 160, 109, 8, 26, 3, 6
2020/2/7, 168, 104, 9, 16, 4, 5
2020/2/8, 167, 99, 8, 19, 3, 6
2020/2/9, 169, 111, 8, 26, 4, 8
2020/2/10, 172, 116, 9, 26, 3, 7
2020/2/11, 179, 95, 8, 14, 5, 5
2020/2/12, 167, 43, 5, 11, 6, 5
2020/2/13, 148, 89, 14, 10, 8, 9
2020/2/14, 155, 79, 8, 5, 5, 4
2020/2/15, 141, 98, 11, 9, 5, 6
2020/2/16, 164, 95, 9, 8, 5, 5
2020/2/17, 161, 98, 6, 11, 4, 6
2020/2/18, 153, 128, 10, 12, 7, 8
2020/2/19, 184, 129, 11, 11, 5, 6
2020/2/20, 174, 37, 9, 6, 11, 2
2020/2/21, 90, 63, 10, 8, 19, 6
2020/2/22, 126, 79, 11, 10, 63, 4
2020/2/23, 146, 82, 10, 10, 79, 4
2020/2/24, 133, 94, 11, 8, 34, 6
2020/2/25, 162, 117, 11, 12, 34, 7
2020/2/26, 175, 103, 11, 13, 20, 6
2020/2/27, 168, 120, 11, 11, 11, 6
2020/2/28, 139, 74, 7, 8, 8, 5
2020/2/29, 122, 55, 10, 9, 8, 4
2020/1/1, 210, 112, 11, 18, 15, 7
2020/1/2, 184, 98, 1, 17, 13, 6
2020/1/3, 168, 125, 16, 17, 21, 6
2020/1/4, 184, 107, 11, 14, 21, 4
2020/1/5, 172, 79, 4, 15, 23, 5
2020/1/6, 160, 53, 10, 12, 22, 5
2020/1/7, 130, 47, 6, 12, 25, 5
2020/1/8, 121, 65, 9, 9, 28, 4
2020/1/9, 144, 85, 10, 10, 31, 6
2020/1/10, 158, 96, 11, 11, 34, 6
2020/1/11, 167, 295, 11, 12, 37, 6
2020/1/12, 174, 366, 14, 14, 56, 10
2020/1/13, 190, 78, 3, 10, 74, 3
2020/1/14, 160, 83, 2, 9, 4, 3
2020/1/15, 152, 89, 2, 10, 4, 7
2020/1/16, 166, 70, 2, 9, 4, 6
2020/1/17, 156, 71, 3, 8, 4, 4
2020/1/18, 139, 84, 2, 7, 2, 5
2020/1/19, 155, 116, 3, 9, 4, 7
2020/1/20, 177, 126, 2, 10, 5, 12
2020/1/21, 190, 75, 6, 9, 1, 6
2020/1/22, 153, 79, 6, 6, 2, 3
2020/1/23, 131, 83, 6, 10, 3, 4
2020/1/24, 144, 131, 5, 9, 2, 7
2020/1/25, 182, 109, 9, 10, 1, 8
2020/1/26, 179, 90, 1, 13, 2, 7
2020/1/27, 167, 87, 7, 11, 7, 10
2020/1/28, 134, 59, 9, 10, 1, 4
2020/1/29, 105, 70, 8, 8, 2, 4
2020/1/30, 123, 87, 6, 9, 1, 6
2020/1/31, 146, 92, 5, 8, 3, 6
