latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
33.183,74.077,301.5,1.5,1.2,2020-01-01,0530,Terra,MODIS,48,6.0NRT,280.6,12.3,D
31.051,72.795,300,2.3,1.5,2020-01-02,0750,Aqua,MODIS,17,6.0NRT,284.8,12.7,D
28.914,77.606,304.4,1.3,1.1,2020-01-02,0750,Aqua,MODIS,59,6.0NRT,292.4,5.4,D
29.807,72.713,306.9,2.5,1.5,2020-01-02,0750,Aqua,MODIS,64,6.0NRT,285.6,29.6,D
29.347,78.036,302.8,1.2,1.1,2020-01-02,0750,Aqua,MODIS,41,6.0NRT,285.6,6.5,D
29.813,72.738,300.2,2.5,1.5,2020-01-02,0750,Aqua,MODIS,32,6.0NRT,282.2,15.1,D
27.37,77.692,300.4,1.2,1.1,2020-01-03,0520,Terra,MODIS,33,6.0NRT,288.7,4.3,D
30.442,76.788,304.6,1.5,1.2,2020-01-03,0520,Terra,MODIS,59,6.0NRT,287.4,12,D
30.412,74.064,306.3,1.4,1.2,2020-01-03,0835,Aqua,MODIS,63,6.0NRT,292.5,8.1,D
30.637,73.454,302.9,1.3,1.1,2020-01-03,0835,Aqua,MODIS,54,6.0NRT,291.9,5.4,D
30.727,72.521,306.2,1.2,1.1,2020-01-03,0835,Aqua,MODIS,52,6.0NRT,290.8,6.3,D
30.726,72.509,311.2,1.2,1.1,2020-01-03,0835,Aqua,MODIS,70,6.0NRT,291.1,10.5,D
30.73,72.514,315.1,1.2,1.1,2020-01-03,0835,Aqua,MODIS,75,6.0NRT,290.9,15.2,D
30.925,72.798,301.6,1.2,1.1,2020-01-03,0835,Aqua,MODIS,45,6.0NRT,289.4,4.9,D
30.923,72.785,309.5,1.2,1.1,2020-01-03,0835,Aqua,MODIS,68,6.0NRT,289.5,11.3,D
31.013,73.452,308.4,1.3,1.1,2020-01-03,0835,Aqua,MODIS,67,6.0NRT,290.5,10.1,D
31.021,73.445,306.8,1.3,1.1,2020-01-03,0835,Aqua,MODIS,64,6.0NRT,290.4,8.6,D
31.648,72.979,302.5,1.2,1.1,2020-01-03,0835,Aqua,MODIS,49,6.0NRT,290.5,5.4,D
30.444,76.783,301.7,2.1,1.4,2020-01-03,0835,Aqua,MODIS,48,6.0NRT,289.7,11.3,D
30.413,74.078,313.4,1.4,1.2,2020-01-03,0835,Aqua,MODIS,74,6.0NRT,292.3,16.2,D
30.443,76.788,302,2.1,1.4,2020-01-03,0835,Aqua,MODIS,50,6.0NRT,289.6,12.2,D
