date,panipat pm 2.5,sirsa pm 2.5,Bhiwanipm 2.5,rohtak pm 2.5,patiala pm 2.5,ludhiana pm 2.5,kaithal pm 2.5,karnal pm 2.5,jind pm2.5,delhi_wazirpm2.5
2019/10/1,108,112,104,67,108,79,99,120,112,120
2019/10/2,128,155,115,106,80,120,87,133,122,113
2019/10/3,158,149,150,118,119,105,109,167,145,154
2019/10/4,119,82,110,84,59,64,64,167,98,133
2019/10/5,145,138,122,81,66,84,62,135,102,119
2019/10/6,156,155,111,88,121,83,157,146,146,119
2019/10/7,156,120,134,93,113,85,162,143,137,122
2019/10/8,117,124,113,96,79,87,84,145,114,122
2019/10/9,151,159,146,123,103,117,119,165,147,160
2019/10/10,183,165,158,155,121,109,118,180,158,190
2019/10/11,182,175,165,152,107,130,114,176,155,172
2019/10/12,210,171,160,154,148,148,146,189,171,188
2019/10/13,207,200,142,165,145,149,154,196,179,217
2019/10/14,193,186,141,167,148,149,149,202,173,201
2019/10/15,221,189,139,164,151,164,155,226,180,200
2019/10/16,206,238,140,183,157,172,171,195,202,219
2019/10/17,177,265,166,177,145,167,143,176,184,204
2019/10/18,176,215,137,154,132,137,112,176,168,162
2019/10/19,174,170,97,84,142,117,100,202,166,161
2019/10/20,184,169,125,144,127,130,72,186,167,145
2019/10/21,158,190,136,159,141,155,77,179,172,207
2019/10/22,179,203,151,160,146,159,98,182,165,184
2019/10/23,188,217,135,175,158,162,147,183,190,207
2019/10/24,226,219,143,196,163,167,165,199,208,290
2019/10/25,190,226,178,203,167,169,160,172,194,208
2019/10/26,202,260,206,199,185,175,165,183,205,247
2019/10/27,244,269,217,200,215,202,178,216,253,326
2019/10/28,280,341,266,248,245,275,168,196,261,398
2019/10/29,338,286,278,227,179,182,195,215,311,400
2019/10/30,388,229,232,211,193,183,163,288,289,390
2019/10/31,353,263,292,299,187,189,230,283,379,424
2019/11/1,297,474,373,358,181,195,223,305,418,495
2019/11/2,338,650,415,352,217,194,186,307,511,384
2019/11/3,587,437,304,462,273,236,272,510,607,828
2019/11/4,391,353,260,292,189,161,258,300,419,400
2019/11/5,281,254,171,186,171,162,223,237,264,298
2019/11/6,257,198,162,139,249,205,201,336,171,197
2019/11/7,204,92,170,177,92,109,114,168,172,257
2019/11/8,167,95,169,166,130,86,108,139,172,233
2019/11/9,211,94,172,165,156,115,140,158,187,229
2019/11/10,301,155,169,174,219,160,188,243,210,246
2019/11/11,397,180,212,214,204,180,220,261,320,342
2019/11/12,375,272,363,343,223,187,217,255,390,509
2019/11/13,307,256,388,315,189,181,202,221,361,436
2019/11/14,263,309,290,268,183,183,181,209,306,446
2019/11/15,274,154,243,383,186,165,204,202,356,420
2019/11/16,172,85,201,221,123,133,140,168,236,265
2019/11/17,135,94,150,152,93,102,94,123,169,178
2019/11/18,170,125,138,159,115,130,114,148,192,209
2019/11/19,225,169,154,160,158,166,138,182,195,223
2019/11/20,246,206,182,190,158,167,169,184,214,296
2019/11/21,230,171,218,216,159,171,166,183,240,281
2019/11/22,193,165,221,209,146,155,162,182,239,281
2019/11/23,168,144,173,165,113,116,118,159,175,211
2019/11/24,149,145,191,165,120,122,121,147,170,172
2019/11/25,164,136,171,161,101,133,125,161,171,203
2019/11/26,151,134,163,163,97,137,110,145,145,204
2019/11/27,118,73,104,83,59,98,75,111,111,150
2019/11/28,92,84,86,72,74,98,63,84,96,116
2019/11/29,140,105,129,105,86,83,75,137,114,141
2019/11/30,152,128,150,155,101,83,97,161,158,194
2019/12/1,163,166,159,165,121,127,125,163,176,215
2019/12/2,178,161,164,173,150,134,148,173,166,249
2019/12/3,174,148,161,183,156,148,150,169,192,248
2019/12/4,201,172,162,188,171,186,168,208,189,272
2019/12/5,282,173,227,202,181,189,177,252,227,412
2019/12/6,202,174,250,219,170,143,166,179,229,334
