date, pm25, pm10, o3, no2, so2, co
2020/5/1, 161, 110, 6, 2, 19, 3
2020/5/2, 147, 64, 5, 2, 39, 3
2020/5/3, 84, 26, 10, 2, 3, 2
2020/5/4, 51, 51, 14, 1, 8, 3
2020/5/5, 79, 88, 10, 2, 9, 2
2020/5/6, 109, 67, 15, 2, 7, 2
2020/5/7, 101, 88, 18, 2, 6, 3
2020/5/8, 134, 106, 18, 2, 7, 4
2020/5/9, 151, 98, 12, 2, 13, 4
2020/5/10, 133, 130, 12, 2, 17, 3
2020/5/11, 120, , , , , 
2020/4/1, 53, 44, 12, 2, 5, 2
2020/4/2, 74, 44, 17, 2, 3, 2
2020/4/3, 64, 47, 17, 2, 2, 2
2020/4/4, 72, 53, 10, 2, 3, 2
2020/4/5, 79, 59, 13, 2, 5, 2
2020/4/6, 86, 58, 14, 2, 8, 2
2020/4/7, 79, 48, 17, 2, 8, 2
2020/4/8, 67, 50, 17, 2, 7, 2
2020/4/9, 71, 53, 15, 2, 7, 2
2020/4/10, 77, 55, 13, 2, 10, 2
2020/4/11, 73, 64, 13, 1, 12, 2
2020/4/12, 84, 71, 12, 2, 16, 3
2020/4/13, 108, 107, 9, 2, 18, 2
2020/4/14, 116, 113, 12, 2, 10, 2
2020/4/15, 143, 78, 16, 2, 13, 2
2020/4/16, 96, 88, 12, 2, 14, 2
2020/4/17, 95, 64, 10, 2, 19, 1
2020/4/18, 77, 52, 11, 2, 23, 2
2020/4/19, 69, 68, 15, 2, 24, 2
2020/4/20, 89, 53, 13, 2, 28, 2
2020/4/21, 73, 63, 17, 2, 28, 2
2020/4/22, 90, 72, 8, 2, 28, 2
2020/4/23, 104, 66, 14, 2, 17, 3
2020/4/24, 96, 72, 7, 2, 18, 2
2020/4/25, 103, 96, 11, 2, 19, 3
2020/4/26, 142, 66, 11, 2, 19, 2
2020/4/27, 83, 61, 12, 2, 25, 2
2020/4/28, 81, 81, 13, 2, 28, 2
2020/4/29, 119, 260, 11, 2, 15, 2
2020/4/30, 185, 132, 9, 2, 15, 3
2020/3/1, 77, 57, 15, 2, 8, 10
2020/3/2, 92, 67, 7, 2, 21, 4
2020/3/3, 108, 73, 14, 2, 22, 4
2020/3/4, 116, 34, 15, 2, 22, 2
2020/3/5, 36, 19, 8, 2, 18, 2
2020/3/6, 37, 37, 7, 2, 17, 3
2020/3/7, 53, 43, 10, 2, 17, 3
2020/3/8, 65, 55, 10, 2, 17, 3
2020/3/9, 87, 65, 10, 2, 16, 3
2020/3/10, 103, 54, 9, 2, 14, 3
2020/3/11, 79, 67, 8, 2, 16, 2
2020/3/12, 99, 64, 7, 1, 15, 2
2020/3/13, 87, 66, 8, 2, 14, 3
2020/3/14, 101, 50, 9, 2, 15, 3
2020/3/15, 79, 65, 12, 2, 16, 3
2020/3/16, 103, 66, 11, 2, 17, 3
2020/3/17, 104, 71, 13, 2, 21, 4
2020/3/18, 117, 72, 12, 1, 24, 3
2020/3/19, 114, 65, 13, 2, 22, 3
2020/3/20, 86, 59, 11, 2, 25, 3
2020/3/21, 93, 51, 14, 2, 26, 3
2020/3/22, 80, 53, 11, 2, 26, 3
2020/3/23, 82, 51, 8, 2, 27, 2
2020/3/24, 72, 37, 7, 2, 31, 2
2020/3/25, 59, 44, 7, 2, 35, 2
2020/3/26, 67, 27, 3, 1, 37, 2
2020/3/27, 45, 21, 9, 2, 39, 2
2020/3/28, 35, 40, 6, 2, 37, 2
2020/3/29, 62, 43, 2, 2, 1, 2
2020/3/30, 66, 43, 8, 2, 1, 2
2020/3/31, 70, 30, 9, 2, 3, 1
2020/2/1, 104, 82, 10, 1, 20, 8
2020/2/2, 136, 86, 12, 1, 18, 7
2020/2/3, 141, 72, 10, , 16, 5
2020/2/4, 117, 70, 11, 1, 16, 5
2020/2/5, 116, 77, 10, 2, 16, 6
2020/2/6, 122, 72, 12, 2, 20, 5
2020/2/7, 120, 88, 12, 2, 31, 7
2020/2/8, 136, 85, 13, 2, 30, 7
2020/2/9, 132, 88, 14, 2, 21, 5
2020/2/10, 129, 93, 14, 2, 16, 6
2020/2/11, 145, 87, 10, 2, 19, 5
2020/2/12, 131, 74, 9, 2, 17, 4
2020/2/13, 94, 78, 9, 2, 14, 3
2020/2/14, 95, 78, 10, 2, 16, 3
2020/2/15, 95, 84, 10, 2, 8, 6
2020/2/16, 119, 88, 14, 2, 9, 6
2020/2/17, 136, 87, 12, 2, 12, 5
2020/2/18, 125, 87, 11, 2, 11, 5
2020/2/19, 131, 87, 11, 2, 16, 6
2020/2/20, 125, 48, 7, 2, 20, 4
2020/2/21, 73, 45, 10, 2, 20, 4
2020/2/22, 66, 62, 11, 2, 18, 5
2020/2/23, 93, 74, 13, 2, 20, 5
2020/2/24, 117, 82, 12, 2, 24, 5
2020/2/25, 126, 91, 12, 2, 26, 6
2020/2/26, 143, 82, 12, 2, 26, 6
2020/2/27, 135, 81, 12, 2, 21, 5
2020/2/28, 124, 69, 7, 2, 18, 5
2020/2/29, 107, 47, 1, 2, 1, 12
2020/1/1, 134, , , , , 
2020/1/3, 132, 99, 21, 1, 23, 9
2020/1/4, 149, 99, 18, 1, 19, 7
2020/1/5, 150, 73, 7, 1, 19, 6
2020/1/6, 123, 51, 7, 1, 19, 5
2020/1/7, 90, 51, 11, 1, 14, 6
2020/1/8, 81, 54, 16, 1, 5, 5
2020/1/9, 78, 67, 16, 1, 5, 5
2020/1/10, 105, 67, 15, 1, 9, 5
2020/1/11, 105, 84, 15, 1, 14, 6
2020/1/12, 127, 72, 7, 1, 17, 6
2020/1/13, 118, 43, 12, 1, 19, 5
2020/1/14, 69, 50, 12, 1, 19, 5
2020/1/15, 79, 60, 8, 1, 20, 5
2020/1/16, 97, 82, 13, 1, 22, 8
2020/1/17, 127, 75, 5, 1, 23, 8
2020/1/18, 112, 66, 3, 1, 22, 8
2020/1/19, 111, 83, 4, 1, 21, 10
2020/1/20, 125, 90, 9, 1, 19, 11
2020/1/21, 150, 62, 11, 1, 15, 6
2020/1/22, 96, 63, 15, 1, 16, 4
2020/1/23, 88, 67, 16, 1, 18, 4
2020/1/24, 94, 88, 7, 1, 18, 6
2020/1/25, 137, 87, 10, 1, 19, 7
2020/1/26, 140, 68, 5, 1, 21, 6
2020/1/27, 108, 45, 6, 1, 21, 4
2020/1/28, 71, 47, 8, 1, 17, 4
2020/1/29, 70, 49, 11, 1, 15, 5
2020/1/30, 79, 55, 8, 1, 15, 5
2020/1/31, 88, 63, 11, 1, 18, 5
2019/10/1, 139, 85, 35, 17, 1, 3
2019/10/2, 155, 84, 36, 8, 1, 3
2019/10/3, 149, 52, 26, 11, 1, 2
2019/10/4, 82, 75, 41, 16, 1, 3
2019/10/5, 138, 86, 39, 21, 1, 3
2019/10/6, 155, 88, 36, 17, 1, 2
2019/10/7, 120, 74, 39, 19, 1, 2
2019/10/8, 124, 92, 50, 13, 1, 4
2019/10/9, 159, 108, 48, 10, 1, 4
2019/10/10, 165, 121, 62, 8, 1, 4
2019/10/11, 175, 108, 47, 9, 1, 4
2019/10/12, 171, 125, 56, 16, 1, 5
2019/10/13, 200, 131, 49, 14, 2, 5
2019/10/14, 186, 115, 53, 5, 1, 5
2019/10/15, 189, 135, 63, 3, 1, 6
2019/10/16, 238, 183, 67, 7, 2, 7
2019/10/17, 265, 163, 32, 10, 2, 6
2019/10/18, 215, 86, 44, 9, 1, 4
2019/10/19, 170, 97, 54, 12, 2, 4
2019/10/20, 169, 109, 61, 24, 1, 5
2019/10/21, 190, 143, 43, 31, 2, 6
2019/10/22, 203, 152, 22, 37, 1, 7
2019/10/23, 217, 137, 26, 23, 1, 6
2019/10/24, 219, 224, 29, , 1, 8
2019/10/25, 226, 265, 66, 1, 3, 10
2019/10/26, 260, 348, 62, 1, , 11
2019/10/27, 269, 400, 56, 1, 3, 12
2019/10/28, 341, 373, 41, 1, 4, 14
2019/10/29, 286, 271, 45, 1, 1, 11
2019/10/30, 229, 313, 61, 1, 5, 11
2019/10/31, 263, 627, 51, 1, 5, 19
2019/11/1, 474, 463, 35, 1, 5, 30
2019/11/2, 650, 559, 29, 2, 5, 17
2019/11/3, 437, 328, 35, 1, 6, 11
2019/11/4, 353, 182, 33, 1, 4, 11
2019/11/5, 254, 126, 29, 1, 4, 8
2019/11/6, 198, 51, 27, , 3, 2
2019/11/7, 92, 60, 39, , 4, 3
2019/11/8, 95, 74, 42, , 4, 4
2019/11/9, 94, 148, 45, , 4, 9
2019/11/10, 155, 146, 58, , 4, 9
2019/11/11, 180, 383, 35, , 5, 18
2019/11/12, 272, 348, 53, , 5, 15
2019/11/13, 256, 476, 35, , 5, 17
2019/11/14, 309, 93, 31, , 4, 6
2019/11/15, 154, 53, 21, , 5, 4
2019/11/16, 85, 59, 31, , 4, 5
2019/11/17, 94, 101, 29, , 5, 7
2019/11/18, 125, 168, 29, , 4, 14
2019/11/19, 169, 222, 32, 1, 5, 13
2019/11/20, 206, 135, 40, 1, 4, 10
2019/11/21, 171, 127, 33, 1, 5, 9
2019/11/22, 165, 98, 23, 1, 5, 7
2019/11/23, 144, 100, 23, 1, 5, 7
2019/11/24, 145, 103, 22, 1, 5, 7
2019/11/25, 136, 81, 12, 1, 4, 6
2019/11/26, 134, 46, 14, 1, 4, 4
2019/11/27, 73, 54, 14, 1, 5, 4
2019/11/28, 84, 61, 7, 1, 5, 5
2019/11/29, 105, 92, 6, 1, 3, 6
2019/11/30, 128, 165, 33, 1, 3, 12
2019/12/1, 166, 131, 33, 1, 3, 10
2019/12/2, 161, 119, 31, 1, 4, 7
2019/12/3, 148, 155, 29, 1, 4, 10
2019/12/4, 172, 139, 31, 1, 4, 12
2019/12/5, 173, 145, 27, 1, 5, 11
2019/12/6, 174, 103, 29, 1, 4, 8
2019/12/7, 150, 104, 31, 1, 4, 9
2019/12/8, 154, 119, 28, 1, 4, 9
2019/12/9, 164, 124, 28, 1, 4, 11
2019/12/10, 164, 143, 25, 1, 4, 11
2019/12/11, 170, 121, 14, 1, 10, 9
2019/12/12, 165, 64, 14, 1, 6, 6
2019/12/13, 102, 58, 17, 1, 5, 4
2019/12/14, 95, 63, 12, 1, 1, 5
2019/12/15, 102, 52, 12, 1, 3, 4
2019/12/16, 79, 74, 16, 1, 3, 5
2019/12/17, 97, 64, 10, 1, 4, 7
2019/12/18, 113, 72, 9, 1, 5, 6
2019/12/19, 120, 73, 5, 1, 5, 8
2019/12/20, 119, 75, 11, , 7, 8
2019/12/21, 122, 65, 10, 1, 7, 9
2019/12/22, 108, 66, 9, 1, 6, 8
2019/12/23, 108, 80, 13, 1, 7, 7
2019/12/24, 136, 97, 13, 1, 7, 7
2019/12/25, 153, 106, 13, 1, 7, 8
2019/12/26, 156, 108, 13, 1, 8, 8
2019/12/27, 162, 98, 8, 1, 19, 8
