date, pm25, pm10, o3, no2, so2, co
2020/5/1, 95, 95, 30, 5, 4, 4
2020/5/2, 59, 70, 23, 4, 3, 3
2020/5/3, 62, 33, 28, 6, 3, 3
2020/5/4, 56, 59, 32, 6, 3, 3
2020/5/5, 65, 65, 30, 7, 6, 3
2020/5/6, 62, 69, 31, 6, 5, 3
2020/5/7, 62, 104, 37, 9, 18, 6
2020/5/8, 96, 110, 35, 10, 13, 6
2020/5/9, 123, 101, 43, 5, 31, 4
2020/5/10, 91, 106, 34, 4, 7, 3
2020/5/11, 78, 77, 35, 4, 4, 3
2020/5/12, 68, 305, 27, 5, 6, 5
2020/5/13, 116, , , , , 
2020/4/1, 54, 38, 60, 6, 2, 2
2020/4/2, 69, 35, 32, 7, 1, 2
2020/4/3, 65, 30, 33, 6, , 2
2020/4/4, 72, 23, 25, 3, 25, 4
2020/4/5, 63, 33, 24, 5, 30, 3
2020/4/6, 167, 53, 21, 4, 32, 2
2020/4/7, 81, 49, 25, 4, 34, 2
2020/4/8, 75, 51, 31, 5, 35, 3
2020/4/9, 88, 53, 27, 6, 30, 3
2020/4/10, 95, 57, 30, 5, 34, 3
2020/4/11, 91, 58, 30, 5, 3, 3
2020/4/12, 91, 68, 26, 6, 7, 4
2020/4/13, 107, 82, 29, 8, 7, 4
2020/4/14, 117, 117, 25, 7, 6, 3
2020/4/15, 135, 71, 26, 5, 7, 3
2020/4/16, 74, 67, 33, 4, 8, 3
2020/4/17, 59, 75, 44, 4, 8, 2
2020/4/18, 73, 50, 28, 5, 3, 3
2020/4/19, 62, 71, 29, 6, 2, 3
2020/4/20, 60, 50, 33, 5, 6, 3
2020/4/21, 61, 67, 31, 7, 14, 2
2020/4/22, 76, 92, 24, 10, 8, 3
2020/4/23, 83, 73, 31, 7, 7, 1
2020/4/24, 68, 59, 35, 9, 32, 2
2020/4/25, 68, 106, 25, 12, 8, 3
2020/4/26, 91, 54, 29, 8, 4, 2
2020/4/27, 66, 49, 31, 6, 4, 2
2020/4/28, 72, 58, 41, 7, 7, 6
2020/4/29, 101, 113, 33, 5, 7, 4
2020/4/30, 93, 134, 28, 6, 7, 4
2020/3/1, 101, 69, 49, 9, 26, 11
2020/3/2, 103, 67, 40, 9, 26, 12
2020/3/3, 78, 78, 70, 12, 31, 18
2020/3/4, 102, 37, 56, 7, 23, 16
2020/3/5, 58, 25, 53, 8, 23, 16
2020/3/6, 48, 35, 40, 10, 22, 15
2020/3/7, 61, 57, 91, 11, 23, 9
2020/3/8, 81, 67, 57, 8, 23, 7
2020/3/9, 91, 73, 70, 7, 38, 8
2020/3/10, 121, 63, 84, 7, 80, 7
2020/3/11, 105, 95, 75, 8, 19, 10
2020/3/12, 83, 86, 56, 9, 20, 9
2020/3/13, 81, 90, 98, 7, 30, 3
2020/3/14, 88, 60, 61, 6, 16, 3
2020/3/15, 89, 85, 64, 10, 14, 4
