date,rohtak pm 2.5
2019/10/1,104
2019/10/2,106
2019/10/3,118
2019/10/4,84
2019/10/5,81
2019/10/6,111
2019/10/7,134
2019/10/8,96
2019/10/9,123
2019/10/10,155
2019/10/11,152
2019/10/12,154
2019/10/13,165
2019/10/14,167
2019/10/15,164
2019/10/16,183
2019/10/17,177
2019/10/18,154
2019/10/19,84
2019/10/20,144
2019/10/21,159
2019/10/22,160
2019/10/23,175
2019/10/24,196
2019/10/25,203
2019/10/26,199
2019/10/27,200
2019/10/28,248
2019/10/29,227
2019/10/30,211
2019/10/31,299
2019/11/1,358
2019/11/2,352
2019/11/3,462
2019/11/4,292
2019/11/5,186
2019/11/6,139
2019/11/7,177
2019/11/8,166
2019/11/9,165
2019/11/10,174
2019/11/11,214
2019/11/12,343
2019/11/13,315
2019/11/14,268
2019/11/15,383
2019/11/16,221
2019/11/17,152
2019/11/18,159
2019/11/19,160
2019/11/20,190
2019/11/21,216
2019/11/22,209
2019/11/23,165
2019/11/24,165
2019/11/25,161
2019/11/26,163
2019/11/27,83
2019/11/28,72
2019/11/29,105
2019/11/30,155
2019/12/1,165
2019/12/2,173
2019/12/3,183
2019/12/4,188
2019/12/5,202
2019/12/6,219
2019/12/7,205
2019/12/8,215
2019/12/9,196
2019/12/10,230
2019/12/11,291
2019/12/12,279
2019/12/13,160
2019/12/14,132
2019/12/15,155
2019/12/16,149
2019/12/17,148
2019/12/18,170
2019/12/19,203
2019/12/20,211
2019/12/21,196
2019/12/22,171
2019/12/23,179
2019/12/24,210
2019/12/25,190
2019/12/26,209
2019/12/27,198
2019/12/28,192
2019/12/29,214
2019/7/1,149
2019/7/2,164
2019/7/3,129
2019/7/4,75
2019/7/5,114
2019/7/6,124
2019/7/7,99
2019/7/8,117
2019/7/9,130
2019/7/10,165
2019/7/11,187
2019/7/12,203
2019/7/13,169
2019/7/14,176
2019/7/15,118
2019/7/16,103
2019/7/17,70
2019/7/18,260
2019/7/19,103
2019/7/20,111
2019/7/21,113
2019/7/22,131
2019/7/23,142
2019/7/24,120
2019/7/25,58
2019/7/26,97
2019/7/27,90
2019/7/28,84
2019/7/29,78
2019/7/30,103
2019/7/31,97
2019/8/1,97
2019/8/2,84
2019/8/3,100
2019/8/4,81
2019/8/5,109
2019/8/6,81
2019/8/7,97
2019/8/8,84
2019/8/9,57
2019/8/10,116
2019/8/11,89
2019/8/12,79
2019/8/13,82
2019/8/14,104
2019/8/15,111
2019/8/16,78
2019/8/17,63
2019/8/18,59
2019/8/19,94
2019/8/20,88
2019/8/21,111
2019/8/22,81
2019/8/23,113
2019/8/24,124
2019/8/25,109
2019/8/26,78
2019/8/27,99
2019/8/28,115
2019/8/29,96
2019/8/30,100
2019/8/31,133
2019/9/1,86
2019/9/2,98
2019/9/3,125
