date,patiala pm 2.5
2019/10/1,67
2019/10/2,80
2019/10/3,119
2019/10/4,59
2019/10/5,66
2019/10/6,88
2019/10/7,93
2019/10/8,79
2019/10/9,103
2019/10/10,121
2019/10/11,107
2019/10/12,148
2019/10/13,145
2019/10/14,148
2019/10/15,151
2019/10/16,157
2019/10/17,145
2019/10/18,132
2019/10/19,142
2019/10/20,127
2019/10/21,141
2019/10/22,146
2019/10/23,158
2019/10/24,163
2019/10/25,167
2019/10/26,185
2019/10/27,215
2019/10/28,245
2019/10/29,179
2019/10/30,193
2019/10/31,187
2019/11/1,181
2019/11/2,217
2019/11/3,273
2019/11/4,189
2019/11/5,171
2019/11/6,249
2019/11/7,92
2019/11/8,130
2019/11/9,156
2019/11/10,219
2019/11/11,204
2019/11/12,223
2019/11/13,189
2019/11/14,183
2019/11/15,186
2019/11/16,123
2019/11/17,93
2019/11/18,115
2019/11/19,158
2019/11/20,158
2019/11/21,159
2019/11/22,146
2019/11/23,113
2019/11/24,120
2019/11/25,101
2019/11/26,97
2019/11/27,59
2019/11/28,74
2019/11/29,86
2019/11/30,101
2019/12/1,121
2019/12/2,150
2019/12/3,156
2019/12/4,171
2019/12/5,181
2019/12/6,170
2019/12/7,162
2019/12/8,156
2019/12/9,171
2019/12/10,184
2019/12/11,189
2019/12/12,178
2019/12/13,91
2019/12/14,88
2019/12/15,99
2019/12/16,107
2019/12/17,143
2019/12/18,137
2019/12/19,157
2019/12/20,170
2019/12/21,176
2019/12/22,153
2019/12/23,148
2019/12/24,151
2019/12/25,161
2019/12/26,166
2019/12/27,170
2019/12/28,169
2019/12/29,154
2019/7/1,134
2019/7/2,121
2019/7/3,101
2019/7/4,76
2019/7/5,70
2019/7/6,76
2019/7/7,66
2019/7/8,86
2019/7/9,75
2019/7/10,60
2019/7/11,64
2019/7/12,75
2019/7/13,75
2019/7/14,47
2019/7/15,52
2019/7/16,38
2019/7/17,40
2019/7/18,56
2019/7/19,51
2019/7/20,53
2019/7/21,39
2019/7/22,48
2019/7/23,53
2019/7/24,76
2019/7/25,44
2019/7/26,39
2019/7/27,29
2019/7/28,20
2019/7/29,24
2019/7/30,26
2019/7/31,24
2019/8/1,47
2019/8/2,39
2019/8/3,37
2019/8/4,39
2019/8/5,56
2019/8/6,46
2019/8/7,36
2019/8/8,41
2019/8/9,26
2019/8/10,31
2019/8/11,37
2019/8/12,58
2019/8/13,35
2019/8/14,37
2019/8/15,54
2019/8/16,36
