date, pm25, pm10, o3, no2, so2, co
2020/5/1, 97, 70, 17, 96, 2, 2
2020/5/2, 90, 36, 14, 54, 1, 
2020/5/3, 55, 25, 16, 60, 1, 1
2020/5/4, 51, 51, 18, 25, 1, 1
2020/5/5, 86, 56, 17, 12, 1, 1
2020/5/6, 95, 41, 20, 13, 1, 1
2020/5/7, 69, 62, 21, 7, 1, 2
2020/5/8, 110, 72, 21, 6, 3, 3
2020/5/9, 133, 65, 16, 6, 2, 2
2020/5/10, 109, 45, 21, 6, 5, 3
2020/5/11, 82, 47, 19, 6, 4, 2
2020/5/12, 74, 67, 10, , 3, 1
2020/5/13, 114, , , , , 
2020/4/1, 37, 31, 12, 8, 1, 
2020/4/2, 52, 22, 14, 7, 1, 
2020/4/3, 49, 32, 16, 6, 1, 1
2020/4/4, 60, 40, 16, 6, 2, 1
2020/4/5, 77, 33, 15, 6, 1, 1
2020/4/6, 55, 34, 13, 6, 1, 1
2020/4/7, 58, 29, 17, 7, 2, 
2020/4/8, 57, 32, 17, 7, 2, 1
2020/4/9, 63, 38, 17, 7, 2, 1
2020/4/10, 66, 32, 17, 7, 2, 
2020/4/11, 57, 32, 18, 7, 2, 1
2020/4/12, 64, 44, 18, 7, 2, 1
2020/4/13, 75, 53, 16, 7, 2, 1
2020/4/14, 90, 62, 18, 7, 3, 1
2020/4/15, 89, 49, 17, 7, 2, 
2020/4/16, 73, 43, 14, 7, 2, 
2020/4/17, 68, 31, 15, 6, 4, 1
2020/4/18, 54, 29, 16, 6, 10, 3
2020/4/19, 47, 28, 12, 6, 6, 3
2020/4/20, 59, 28, 16, 6, 8, 3
2020/4/21, 55, 41, 14, 6, 1, 2
2020/4/22, 64, 45, 17, 12, 1, 2
2020/4/23, 68, 49, 17, 7, 1, 2
2020/4/24, 84, 51, 26, 8, 1, 2
2020/4/25, 84, 44, 31, 14, 1, 2
2020/4/26, 71, 23, 26, 16, 1, 1
2020/4/27, 46, 29, 27, 53, 1, 1
2020/4/28, 54, 48, 26, 22, 1, 2
2020/4/29, 78, 66, 26, 11, 1, 2
2020/4/30, 103, 62, 21, 28, 2, 2
2020/3/1, 74, 48, 14, 12, 6, 2
2020/3/2, 81, 58, 5, 14, 5, 4
2020/3/3, 111, 70, 13, 16, 7, 5
2020/3/4, 126, 64, 11, 16, 2, 3
2020/3/5, 102, 27, 10, 14, 2, 2
2020/3/6, 57, 41, 10, 25, 8, 4
2020/3/7, 76, 67, 14, 23, 5, 4
2020/3/8, 107, 44, 12, 14, 4, 3
2020/3/9, 76, 56, 14, 27, 5, 4
2020/3/10, 102, 67, 10, 29, 5, 5
2020/3/11, 111, 43, 13, 22, 4, 3
2020/3/12, 69, 67, 11, 52, 5, 4
2020/3/13, 90, 51, 6, 18, 9, 4
2020/3/14, 106, 52, 12, 98, 7, 3
2020/3/15, 100, 49, 11, 82, 4, 3
2020/3/16, 91, 57, 13, 11, 2, 3
2020/3/17, 100, 64, 12, 9, 2, 3
2020/3/18, 114, 64, 12, 8, 3, 3
2020/3/19, 117, 76, 10, 6, 6, 5
2020/3/20, 126, 79, 8, 7, 7, 5
