date,panipat pm 2.5,date,sirsa pm 2.5,date,Bhiwanipm 2.5,date,rohtak pm 2.5,date,patiala pm 2.5,date,ludhiana pm 2.5,date,kaithal pm 2.5,date,karnal pm 2.5
2019/10/1,108,,,2019/10/1,112,2019/10/1,104,2019/10/1,67,2019/10/1,108,2019/10/1,79,2019/10/1,99
2019/10/2,128,2019/10/2,155,2019/10/2,115,2019/10/2,106,2019/10/2,80,2019/10/2,120,2019/10/2,87,2019/10/2,133
2019/10/3,158,2019/10/3,149,2019/10/3,150,2019/10/3,118,2019/10/3,119,2019/10/3,105,2019/10/3,109,2019/10/3,167
2019/10/4,119,2019/10/4,82,2019/10/4,110,2019/10/4,84,2019/10/4,59,2019/10/4,64,2019/10/4,64,2019/10/4,167
2019/10/5,145,2019/10/5,138,2019/10/5,122,2019/10/5,81,2019/10/5,66,2019/10/5,84,2019/10/5,62,2019/10/5,135
2019/10/6,156,2019/10/6,155,,,2019/10/6,111,2019/10/6,88,2019/10/6,121,2019/10/6,83,2019/10/6,157
2019/10/7,156,2019/10/7,120,,,2019/10/7,134,2019/10/7,93,2019/10/7,113,2019/10/7,85,2019/10/7,162
2019/10/8,117,2019/10/8,124,2019/10/8,113,2019/10/8,96,2019/10/8,79,2019/10/8,87,2019/10/8,84,2019/10/8,145
2019/10/9,151,2019/10/9,159,2019/10/9,146,2019/10/9,123,2019/10/9,103,2019/10/9,117,2019/10/9,119,2019/10/9,165
2019/10/10,183,2019/10/10,165,2019/10/10,158,2019/10/10,155,2019/10/10,121,2019/10/10,109,2019/10/10,118,2019/10/10,180
2019/10/11,182,2019/10/11,175,2019/10/11,165,2019/10/11,152,2019/10/11,107,2019/10/11,130,2019/10/11,114,2019/10/11,176
2019/10/12,210,2019/10/12,171,2019/10/12,160,2019/10/12,154,2019/10/12,148,2019/10/12,148,2019/10/12,146,2019/10/12,189
2019/10/13,207,2019/10/13,200,2019/10/13,142,2019/10/13,165,2019/10/13,145,2019/10/13,149,2019/10/13,154,2019/10/13,196
2019/10/14,193,2019/10/14,186,2019/10/14,141,2019/10/14,167,2019/10/14,148,2019/10/14,149,2019/10/14,149,2019/10/14,202
2019/10/15,221,2019/10/15,189,2019/10/15,139,2019/10/15,164,2019/10/15,151,2019/10/15,164,2019/10/15,155,2019/10/15,226
2019/10/16,206,2019/10/16,238,2019/10/16,140,2019/10/16,183,2019/10/16,157,2019/10/16,172,2019/10/16,171,2019/10/16,195
2019/10/17,177,2019/10/17,265,2019/10/17,166,2019/10/17,177,2019/10/17,145,2019/10/17,167,2019/10/17,143,2019/10/17,176
2019/10/18,176,2019/10/18,215,2019/10/18,137,2019/10/18,154,2019/10/18,132,2019/10/18,137,2019/10/18,112,2019/10/18,176
