date,H_pm25,H_pm10,H_o3,H_no2,H_so2,H_co,D_pm25,D_pm10,D_o3,D_no2,D_so2,D_co,P_pm25,P_pm10,P_o3,P_no2,P_so2,P_co
2016-09-01,85,42,9,6,3,4,76,69,7,18,5,8,68,42,7,5,3,6
2016-09-02,120,42,9,7,3,5,119,78,12,17,4,7,68,42,7,5,3,6
2016-09-03,142,42,8,5,2,6,124,84,7,14,5,5,68,42,7,5,3,6
2016-09-04,133,42,9,5,2,7,126,82,11,12,4,5,68,42,7,5,3,6
2016-09-05,137,42,14,6,4,5,123,91,7,14,5,5,68,42,7,5,3,6
2016-09-06,138,42,15,7,7,2,130,99,10,17,7,7,68,42,7,5,3,6
2016-09-07,164,42,9,7,6,4,141,98,11,16,9,3,68,42,7,5,3,6
2016-09-08,260,42,13,7,6,2,142,98,12,17,8,4,68,42,7,5,3,6
2016-09-09,118,42,9,7,3,1,139,81,12,15,8,7,68,42,7,5,3,6
2016-09-10,111,42,38,7,3,1,120,71,12,16,8,7,68,42,7,5,3,6
2016-09-11,98,42,26,8,4,3,111,87,11,18,7,8,68,42,7,5,3,6
2016-09-12,108,42,10,10,5,4,134,87,15,22,8,10,68,42,7,5,3,6
2016-09-13,148,42,9,6,6,12,145,68,19,21,9,13,68,42,7,5,3,6
2016-09-14,109,42,8,11,4,7,128,99,25,29,7,13,68,42,7,5,3,6
2016-09-15,165,42,12,12,4,7,158,91,24,30,9,10,68,42,7,5,3,6
2016-09-16,163,42,13,11,4,6,151,110,25,35,9,14,68,42,7,5,3,6
2016-09-17,175,42,12,8,4,6,165,109,26,29,8,13,68,42,7,5,3,6
2016-09-18,168,42,13,8,4,9,166,105,27,32,10,15,68,42,7,5,3,6
2016-09-19,158,42,14,9,4,5,157,121,45,36,7,23,68,42,7,5,3,6
2016-09-20,171,42,11,6,4,8,173,112,14,30,6,20,68,42,7,5,3,6
2016-09-21,159,42,9,4,3,3,163,59,12,18,7,11,68,42,7,5,3,6
2016-09-22,101,42,9,6,4,2,105,65,31,20,8,14,68,42,7,5,3,6
2016-09-23,116,42,10,6,4,4,114,101,20,28,7,15,68,42,7,5,3,6
2016-09-24,129,42,10,6,4,3,154,86,32,24,8,18,68,42,7,5,3,6
2016-09-25,127,42,10,7,4,3,139,112,27,34,8,24,68,42,7,5,3,6
2016-09-26,152,42,12,7,4,4,159,84,34,25,8,14,68,42,7,5,3,6
2016-09-27,147,42,14,9,4,5,140,126,52,39,7,20,68,42,7,5,3,6
2016-09-28,176,42,11,6,4,8,170,129,30,31,9,15,68,42,7,5,3,6
2016-09-29,163,42,15,9,4,11,176,100,44,32,9,14,68,42,7,5,3,6
2016-09-30,160,42,10,7,4,9,152,148,22,32,10,25,68,42,7,5,3,6
2016-10-01,156,42,23,7,4,9,186,119,17,27,10,21,68,42,7,5,3,6
2016-10-02,136,42,55,10,4,10,164,119,13,32,8,27,68,42,7,5,3,6
2016-10-03,162,42,8,7,5,8,167,159,26,38,8,16,68,42,7,5,3,6
2016-10-04,184,42,5,8,6,16,189,95,5,43,9,10,68,42,7,5,3,6
2016-10-05,181,42,19,4,5,28,149,130,23,48,9,18,68,42,7,5,3,6
2016-09-06,441,42,15,5,2,29,176,136,23,32,9,17,68,42,7,5,3,6
2016-10-07,441,42,15,5,2,29,180,141,21,45,9,28,68,42,7,5,3,6
2016-10-08,273,42,19,4,5,28,183,180,40,62,9,18,68,42,7,5,3,6
2016-10-09,189,42,19,3,4,17,201,146,57,42,9,6,68,42,7,5,3,6
2016-10-10,268,42,8,1,4,6,181,179,84,39,8,18,68,42,7,5,3,6
2016-10-11,186,42,8,1,5,5,192,156,56,35,10,22,68,42,7,5,3,6
2016-10-12,186,42,6,5,1,14,182,157,41,36,9,33,68,42,7,5,3,6
2016-10-13,197,42,4,3,3,9,166,136,46,37,11,24,68,42,7,5,3,6
2016-10-14,178,42,10,4,4,9,161,203,98,47,10,30,68,42,7,5,3,6
2016-10-15,203,42,4,4,2,9,202,169,85,37,13,22,68,42,7,5,3,6
2016-10-16,187,42,6,4,1,11,194,218,73,42,17,32,68,42,7,5,3,6
2016-10-17,207,42,50,5,2,30,205,234,76,45,15,28,68,42,7,5,3,6
2016-10-18,198,42,5,7,6,27,212,227,67,40,17,30,68,42,7,5,3,6
2016-10-19,210,42,9,9,2,13,202,225,40,36,13,28,68,42,7,5,3,6
2016-10-20,204,42,13,10,5,13,188,217,43,32,14,23,68,42,7,5,3,6
2016-10-21,206,42,11,9,2,13,185,237,39,31,14,25,68,42,7,5,3,6
