,Actual,Predicted
0,161.0,165.43413
1,154.0,156.10117
2,248.0,239.51228
3,145.0,118.765945
4,441.0,401.66815
5,272.0,358.925
6,146.0,142.64435
7,105.0,79.59978
8,217.0,202.76414
9,135.0,111.18531
10,194.0,179.29128
11,191.0,172.95506
12,162.0,159.68466
13,109.0,97.26761
14,142.0,117.74139
15,122.0,132.37407
16,728.0,430.0112
17,98.0,94.799225
18,257.0,186.59105
19,151.0,118.21612
20,137.0,145.54816
21,143.0,135.45442
22,420.0,425.633
23,134.0,167.84363
24,59.0,72.72869
25,157.0,134.7493
26,115.0,89.9222
27,114.0,154.51637
28,112.0,131.98512
29,446.0,404.14462
30,204.0,221.336
31,89.0,158.13777
32,69.0,80.213554
33,135.0,126.177505
34,207.0,222.30974
35,146.0,159.55292
36,111.0,127.18172
37,119.0,112.60485
38,334.0,325.85645
39,138.0,118.35148
40,104.0,131.97078
41,134.0,96.34629
42,326.0,318.74893
43,215.0,209.64314
44,104.0,144.51144
45,237.0,244.19418
46,160.0,142.96667
47,122.0,142.36604
48,188.0,132.727
49,106.0,151.4052
