,Actual,Predicted
0,161.0,149.5
1,154.0,152.5
2,248.0,241.0
3,145.0,114.5
4,441.0,406.0
5,272.0,383.0
6,146.0,149.5
7,105.0,101.5
8,217.0,194.5
9,135.0,105.0
10,194.0,209.0
11,191.0,181.5
12,162.0,160.5
13,109.0,102.0
14,142.0,127.5
15,122.0,132.0
16,728.0,447.5
17,98.0,110.5
18,257.0,181.0
19,151.0,110.5
20,137.0,128.5
21,143.0,137.5
22,420.0,412.0
23,134.0,116.0
24,59.0,87.5
25,157.0,130.5
26,115.0,108.0
27,114.0,154.5
28,112.0,138.5
29,446.0,400.0
30,204.0,228.5
31,89.0,113.0
32,69.0,84.5
33,135.0,116.5
34,207.0,210.0
35,146.0,146.5
36,111.0,101.5
37,119.0,137.5
38,334.0,302.5
39,138.0,106.5
40,104.0,117.0
41,134.0,142.5
42,326.0,320.0
43,215.0,226.5
44,104.0,144.0
45,237.0,208.5
46,160.0,161.0
47,122.0,137.0
48,188.0,166.5
49,106.0,143.5
