,Actual,Stacking regression,XGB,KNN,RANDOM_FOREST
0,161,151.526155118555,165.43413,149.5,175.27
1,154,155.537192351921,156.10117,152.5,157.76
2,248,229.980264786785,239.51228,241,238.82
3,145,116.748447428801,118.765945,114.5,120.79
4,441,389.223916446624,401.66815,406,414.47
5,272,343.709335962901,358.925,383,355.68
6,146,149.258859750329,142.64435,149.5,161.72
7,105,93.9476336540334,79.59978,101.5,98.14
8,217,199.30719450363,202.76414,194.5,204.72
9,135,108.68393756055,111.18531,105,112.99
10,194,186.081326592693,179.29128,209,173.33
11,191,182.525483114115,172.95506,181.5,176.62
12,162,158.36392281735,159.68466,160.5,158.29
13,109,106.046761574931,97.26761,102,108.43
14,142,134.004172568633,117.74139,127.5,128.57
15,122,124.698120569288,132.37407,132,134.63
16,728,473.485959407533,430.0112,447.5,462.72
17,98,96.8218121964979,94.799225,110.5,98.26
18,257,204.044686625051,186.59105,181,218.29
19,151,120.437481573646,118.21612,110.5,134.02
20,137,131.783836607219,145.54816,128.5,139.01
21,143,129.795779509879,135.45442,137.5,130.94
22,420,419.761768567938,425.633,412,440.45
23,134,158.045776738255,167.84363,116,153.93
24,59,75.0602229906049,72.72869,87.5,78.06
25,157,134.764586447325,134.7493,130.5,135.44
26,115,106.154825891348,89.9222,108,106.47
27,114,151.466455466807,154.51637,154.5,142.2
28,112,136.641039948242,131.98512,138.5,135.99
29,446,395.604142430655,404.14462,400,406.37
30,204,225.455902168521,221.336,228.5,227.72
31,89,116.534938033577,158.13777,113,124.74
32,69,80.3497699705127,80.213554,84.5,90.7
33,135,130.231376333651,126.177505,116.5,140.27
34,207,218.410833550669,222.30974,210,230.62
35,146,153.137520987302,159.55292,146.5,146.64
36,111,97.4023647308509,127.18172,101.5,102.24
37,119,128.54481348835,112.60485,137.5,124.18
38,334,327.7638457105,325.85645,302.5,380.8
39,138,108.382721444804,118.35148,106.5,111.58
40,104,106.18855258525,131.97078,117,113.96
41,134,120.503587749904,96.34629,142.5,111.49
42,326,322.581458173992,318.74893,320,335.68
43,215,208.720161452098,209.64314,226.5,203.55
44,104,133.918444284268,144.51144,144,133.95
45,237,236.687135046997,244.19418,208.5,225.92
46,160,157.785201748907,142.96667,161,153.96
47,122,132.114542496625,142.36604,137,127.04
48,188,160.732301981968,132.727,166.5,155.35
49,106,146.74903436161,151.4052,143.5,140.38
