date, pm25
2020/5/1,112
2020/5/2,83
2020/5/3,73
2020/5/4,69
2020/5/5,106
2020/5/6,124
2020/5/7,89
2020/5/8,106
2020/5/9,105
2020/5/10,93
2020/5/11,86
2020/5/12,84
2020/4/1,72
2020/4/2,63
2020/4/3,101
2020/4/4,105
2020/4/5,111
2020/4/6,177
2020/4/9,79
2020/4/10,135
2020/4/11,115
2020/4/12,103
2020/4/13,140
2020/4/14,103
2020/4/15,158
2020/4/16,137
2020/4/17,69
2020/4/18,65
2020/4/19,83
2020/4/20,106
2020/4/21,87
2020/4/22,129
2020/4/23,134
2020/4/24,129
2020/4/25,87
2020/4/26,106
2020/4/27,67
2020/4/28,91
2020/4/29,114
2020/4/30,107
2020/3/1,97
2020/3/2,155
2020/3/3,136
2020/3/4,139
2020/3/5,74
2020/3/6,54
2020/3/7,103
2020/3/8,124
2020/3/9,124
2020/3/10,138
2020/3/11,111
2020/3/12,113
2020/3/13,129
2020/3/14,89
2020/3/15,109
2020/3/16,119
2020/3/17,120
2020/3/18,135
2020/3/19,142
2020/3/20,157
2020/3/21,134
2020/3/22,135
2020/3/23,112
2020/3/24,103
2020/3/25,75
2020/3/26,82
2020/3/27,65
2020/3/28,59
2020/3/29,68
2020/3/30,75
2020/3/31,73
2020/2/1,165
2020/2/2,171
2020/2/3,180
2020/2/4,227
2020/2/5,184
2020/2/6,167
2020/2/7,189
2020/2/8,203
2020/2/9,172
2020/2/10,219
2020/2/11,214
2020/2/12,216
2020/2/13,152
2020/2/14,133
2020/2/15,146
2020/2/16,184
2020/2/17,191
2020/2/18,176
2020/2/19,166
2020/2/20,156
2020/2/21,98
2020/2/22,132
2020/2/23,149
2020/2/24,134
2020/2/25,181
2020/2/26,191
2020/2/27,160
2020/2/28,149
2020/2/29,122
2020/1/1,450
2020/1/2,331
2020/1/3,238
2020/1/4,197
2020/1/5,175
2020/1/6,182
2020/1/7,160
2020/1/8,164
2020/1/9,155
2020/1/10,178
2020/1/11,190
2020/1/12,267
2020/1/13,230
2020/1/14,164
2020/1/15,159
2020/1/16,174
2020/1/17,163
2020/1/18,178
2020/1/19,173
2020/1/20,191
2020/1/21,225
2020/1/22,223
2020/1/23,129
2020/1/24,137
2020/1/25,196
2020/1/26,227
2020/1/27,212
2020/1/28,167
2020/1/29,135
2020/1/30,125
2020/1/31,150
2019/10/3,174
2019/10/12,174
2019/10/16,188
2019/10/17,190
2019/10/18,182
2019/10/19,194
2019/10/20,196
2019/10/21,197
2019/10/22,183
2019/10/23,182
2019/10/24,191
2019/10/25,202
2019/10/26,203
2019/10/27,287
2019/10/28,359
2019/10/29,276
2019/10/30,276
2019/10/31,260
2019/11/1,370
2019/11/2,288
2019/11/3,474
2019/11/4,290
2019/11/5,250
2019/11/6,155
2019/11/7,222
2019/11/8,199
2019/11/9,188
2019/11/10,216
2019/11/11,264
2019/11/12,364
2019/11/13,392
2019/11/14,390
2019/11/15,384
2019/11/16,220
2019/11/17,155
2019/11/18,170
2019/11/19,177
2019/11/20,206
2019/11/21,230
2019/11/22,222
2019/11/23,187
2019/11/24,167
2019/11/25,184
2019/11/26,169
2019/11/27,131
2019/11/28,79
2019/11/29,114
2019/11/30,165
2019/12/1,176
2019/12/2,181
2019/12/3,176
2019/12/4,195
2019/12/5,253
2019/12/6,267
2019/12/7,276
2019/12/8,265
2019/12/9,237
2019/12/10,277
2019/12/11,284
2019/12/12,274
2019/12/13,158
2019/12/14,152
2019/12/15,160
2019/12/16,161
2019/12/17,162
2019/12/18,205
2019/12/19,264
2019/12/20,288
2019/12/21,249
2019/12/22,179
2019/12/23,214
2019/12/24,269
2019/12/25,196
2019/12/26,213
2019/12/27,239
2019/12/28,297
2019/12/29,337
2019/7/1,203
2019/7/2,244
2019/7/22,174
2019/7/26,174
2019/8/4,174
2019/9/1,174
2019/9/9,174
2019/4/5,174
2019/4/8,174
2019/4/11,174
2019/4/12,174
2019/4/13,174
2019/4/29,174
2019/5/7,174
2019/5/14,197
2019/5/15,230
2019/5/16,219
2019/5/17,224
2019/5/18,178
2019/5/19,209
2019/5/20,224
2019/5/21,200
2019/5/22,199
2019/5/23,203
2019/5/25,181
2019/5/26,179
2019/5/27,189
2019/5/28,206
2019/5/29,193
2019/5/30,200
2019/5/31,189
2019/6/1,185
2019/6/2,185
2019/6/3,178
2019/6/4,185
2019/6/5,185
2019/6/6,179
2019/6/7,206
2019/6/8,202
2019/6/9,206
2019/6/10,200
2019/6/11,233
2019/6/12,192
2019/6/13,180
2019/6/14,204
2019/6/15,187
2019/6/16,174
2019/6/17,265
2019/6/19,444
2019/6/20,179
2019/6/21,182
2019/6/22,185
2019/6/25,176
2019/6/26,202
2019/6/27,207
2019/6/28,208
2019/6/29,206
2019/6/30,179
2019/1/1,353
2019/1/2,398
2019/1/3,373
2019/1/4,319
2019/1/5,336
2019/1/6,261
2019/1/7,235
2019/1/8,247
2019/1/9,192
2019/1/10,247
2019/1/11,328
2019/1/12,470
2019/1/13,295
2019/1/14,176
2019/1/15,195
2019/1/16,334
2019/1/17,426
2019/1/18,327
2019/1/19,410
2019/1/20,357
2019/1/21,252
2019/1/22,158
2019/1/23,203
2019/1/24,261
2019/1/25,245
2019/1/26,182
2019/1/27,229
2019/1/28,199
2019/1/29,227
2019/1/30,296
2019/1/31,284
2019/2/1,236
2019/2/2,248
2019/2/3,214
2019/2/4,228
2019/2/5,307
2019/2/6,244
2019/2/7,150
2019/2/8,145
2019/2/9,139
2019/2/10,202
2019/2/11,268
2019/2/12,310
2019/2/13,287
2019/2/14,263
2019/2/15,247
2019/2/16,199
2019/2/17,204
2019/2/18,153
2019/2/19,211
2019/2/20,208
2019/2/21,155
2019/2/22,183
2019/2/23,143
2019/2/24,181
2019/2/25,182
2019/2/26,150
2019/2/27,159
2019/3/1,220
2019/3/2,198
2019/3/5,127
2019/3/6,172
2019/3/7,199
2019/3/8,175
2019/3/9,163
2019/3/10,170
2019/3/11,144
2019/3/12,151
2019/3/13,164
2019/3/14,171
2019/3/15,135
2019/3/16,155
2019/3/17,171
2019/3/18,187
2019/3/19,186
2019/3/20,154
2019/3/21,207
2019/3/22,120
2019/3/23,140
2019/3/24,185
2019/3/25,158
2019/3/26,164
2019/3/27,152
2019/3/28,188
2019/3/29,307
2019/3/31,174
2018/10/1,166
2018/10/2,160
2018/10/3,140
2018/10/4,172
2018/10/5,193
2018/10/6,170
2018/10/7,173
2018/10/8,203
2018/10/9,193
2018/10/10,172
2018/10/11,142
2018/10/12,160
2018/10/13,195
2018/10/14,172
2018/10/15,197
2018/10/16,201
2018/10/17,206
2018/10/18,195
2018/10/19,201
2018/10/20,237
2018/10/21,213
2018/10/22,189
2018/10/23,202
2018/10/24,238
2018/10/25,229
2018/10/26,243
2018/10/27,268
2018/10/28,287
2018/10/29,328
2018/10/30,337
2018/10/31,277
2018/11/1,279
2018/11/2,263
2018/11/3,241
2018/11/4,230
2018/11/5,393
2018/11/6,247
2018/11/7,288
2018/11/8,492
2018/11/9,352
2018/11/10,360
2018/11/11,290
2018/11/12,329
2018/11/13,310
2018/11/14,198
2018/11/15,171
2018/11/16,217
2018/11/17,203
2018/11/18,211
2018/11/19,225
2018/11/20,261
2018/11/21,291
2018/11/22,192
2018/11/23,232
2018/11/24,176
2018/11/25,185
2018/11/26,269
2018/11/27,251
2018/11/28,247
2018/11/29,237
2018/11/30,246
2018/12/1,230
2018/12/2,245
2018/12/3,280
2018/12/4,272
2018/12/5,261
2018/12/6,280
2018/12/7,278
2018/12/8,296
2018/12/9,346
2018/12/10,269
2018/12/11,346
2018/12/12,269
2018/12/13,180
2018/12/14,189
2018/12/15,200
2018/12/16,189
2018/12/17,271
2018/12/18,259
2018/12/19,239
2018/12/20,302
2018/12/21,353
2018/12/22,386
2018/12/23,449
2018/12/24,436
2018/12/25,408
2018/12/26,302
2018/12/27,334
2018/12/28,308
2018/12/29,291
2018/12/30,364
2018/7/1,105
2018/7/2,96
2018/7/3,117
2018/7/4,119
2018/7/5,131
2018/7/6,134
2018/7/7,145
2018/7/8,153
2018/7/9,158
2018/7/10,126
2018/7/11,116
2018/7/12,122
2018/7/13,91
2018/7/14,94
2018/7/15,99
2018/7/16,124
2018/7/17,94
2018/7/18,105
2018/7/19,123
2018/7/20,98
2018/7/21,142
2018/7/22,78
2018/7/23,103
2018/7/24,106
2018/7/25,95
2018/7/26,87
2018/7/27,96
2018/7/28,110
2018/7/29,144
2018/7/30,122
2018/7/31,140
2018/8/1,137
2018/8/2,165
2018/8/3,157
2018/8/4,158
2018/8/5,153
2018/8/6,148
2018/8/7,134
2018/8/8,117
2018/8/9,109
2018/8/10,131
2018/8/11,107
2018/8/12,88
2018/8/13,97
2018/8/14,130
2018/8/15,119
2018/8/16,110
2018/8/17,106
2018/8/18,102
2018/8/19,129
2018/8/20,161
2018/8/21,97
2018/8/22,95
2018/8/23,94
2018/8/24,89
2018/8/25,82
2018/8/26,94
2018/8/27,98
2018/8/28,113
2018/8/29,103
2018/8/30,131
2018/8/31,131
2018/9/1,128
2018/9/2,115
2018/9/3,128
2018/9/4,144
2018/9/5,117
2018/9/6,120
2018/9/7,123
2018/9/8,122
2018/9/9,94
2018/9/10,105
2018/9/11,95
2018/9/12,93
2018/9/13,99
2018/9/14,103
2018/9/15,118
2018/9/16,121
2018/9/17,143
2018/9/18,144
2018/9/19,149
2018/9/20,163
2018/9/21,118
2018/9/22,80
2018/9/23,100
2018/9/24,74
2018/9/25,87
2018/9/26,116
2018/9/27,162
2018/9/28,164
2018/9/29,157
2018/9/30,150
2018/4/1,150
2018/4/2,158
2018/4/3,166
2018/4/4,180
2018/4/5,222
2018/4/6,183
2018/4/7,120
2018/4/8,128
2018/4/9,162
2018/4/10,168
2018/4/11,154
2018/4/14,150
2018/4/15,190
2018/4/16,180
2018/4/17,150
2018/4/18,166
2018/4/19,185
2018/4/20,194
2018/4/21,239
2018/4/22,155
2018/4/23,172
2018/4/24,204
2018/4/25,192
2018/4/26,230
2018/4/27,201
2018/4/28,174
2018/4/29,176
2018/4/30,155
2018/5/1,137
2018/5/2,132
2018/5/3,124
2018/5/4,142
2018/5/5,158
2018/5/6,180
2018/5/7,191
2018/5/8,148
2018/5/9,147
2018/5/10,184
2018/5/11,213
2018/5/12,227
2018/5/13,169
2018/5/14,137
2018/5/15,154
2018/5/16,165
2018/5/17,184
2018/5/18,171
2018/5/19,177
2018/5/20,176
2018/5/21,175
2018/5/22,183
2018/5/23,220
2018/5/24,192
2018/5/25,164
2018/5/26,181
2018/5/27,190
2018/5/28,199
2018/5/29,190
2018/5/30,163
2018/5/31,155
2018/6/1,165
2018/6/2,135
2018/6/4,250
2018/6/5,152
2018/6/6,160
2018/6/7,153
2018/6/8,157
2018/6/9,141
2018/6/10,143
2018/6/11,146
2018/6/12,184
2018/6/13,208
2018/6/14,182
2018/6/15,172
2018/6/16,165
2018/6/17,156
2018/6/18,139
2018/6/19,124
2018/6/20,139
2018/6/21,142
2018/6/22,149
2018/6/23,147
2018/6/24,137
2018/6/25,142
2018/6/26,126
2018/6/27,123
2018/6/28,88
2018/6/29,107
2018/6/30,114
