date, pm25,h_b_colony_bhiwani_date,h_b_colony_bhiwani_pm25,md_university_rohtak_rohtak_date,md_university_rohtak_rohtak_pm25,model_town_patiala_date,model_town_patiala_pm25,punjab_agriculturaluniversity_ludhiana_date,punjab_agriculturaluniversity_ludhiana_pm25,rishi_nagar_kaithal_date,rishi_nagar_kaithal_pm25,sector_12_karnal_date,sector_12_karnal_pm25,sector_18_panipat_date,sector_18_panipat_pm25,f_block_sirsa_date,f_block_sirsa_pm25,delhi_institute_of_tool_engineering_wazirpur_date,delhi_institute_of_tool_engineering_wazirpur_pm25
2020-05-01,146,2020-05-01,95,2020-01-01,226,2020-05-01,97,2020-05-01,97,2020-05-01,138,2020-05-01,148,2020-05-01,138,2020-05-01,161,2020-05-01,146
2020-05-02,102,2020-05-02,59,2020-01-02,190,2020-05-02,92,2020-05-02,90,2020-05-02,118,2020-05-02,158,2020-05-02,148,2020-05-02,147,2020-05-02,102
2020-05-03,93,2020-05-03,62,2020-01-03,165,2020-05-03,67,2020-05-03,55,2020-05-03,81,2020-05-03,133,2020-05-03,113,2020-05-03,84,2020-05-03,93
2020-05-04,79,2020-05-04,56,2020-01-04,182,2020-05-04,37,2020-05-04,51,2020-05-04,53,2020-05-04,90,2020-05-04,80,2020-05-04,51,2020-05-04,79
2020-05-05,118,2020-05-05,65,2020-01-05,187,2020-05-05,70,2020-05-05,86,2020-05-05,99,2020-05-05,127,2020-05-05,119,2020-05-05,79,2020-05-05,118
2020-05-06,139,2020-05-06,62,2020-01-06,174,2020-05-06,77,2020-05-06,95,2020-05-06,126,2020-05-06,143,2020-05-06,139,2020-05-06,109,2020-05-06,139
2020-05-07,86,2020-05-07,62,2020-01-07,161,2020-05-07,53,2020-05-07,69,2020-05-07,81,2020-05-07,121,2020-05-07,116,2020-05-07,101,2020-05-07,86
2020-05-08,120,2020-05-08,96,2020-01-08,156,2020-05-08,93,2020-05-08,110,2020-05-08,130,2020-05-08,167,2020-05-08,136,2020-05-08,134,2020-05-08,120
2020-05-09,140,2020-05-09,123,2020-01-09,132,2020-05-09,133,2020-05-09,133,2020-05-09,150,2020-05-09,165,2020-05-09,160,2020-05-09,151,2020-05-09,140
2020-05-10,111,2020-05-10,91,2020-01-10,162,2020-05-10,77,2020-05-10,109,2020-05-10,105,2020-05-10,131,2020-05-10,120,2020-05-10,133,2020-05-10,111
2020-05-11,122,2020-05-11,78,2020-01-11,163,2020-05-11,59,2020-05-11,82,2020-05-11,73,2020-05-11,81,2020-05-11,109,2020-05-11,120,2020-05-11,122
2020-05-12,124,2020-05-12,68,2020-01-12,171,2020-05-12,54,2020-05-12,74,2020-05-12,78,2020-05-12,84,2020-05-12,137,2020-04-01,53,2020-05-12,124
2020-04-01,89,2020-05-13,116,2020-01-13,202,2020-05-13,97,2020-05-13,114,2020-05-13,143,2020-05-13,151,2020-05-13,161,2020-04-02,74,2020-04-01,89
2020-04-02,76,2020-04-01,54,2019-10-01,104,2020-04-01,43,2020-04-01,37,2020-04-01,61,2020-04-01,82,2020-04-01,89,2020-04-03,64,2020-04-02,76
2020-04-03,91,2020-04-02,69,2019-10-02,106,2020-04-02,50,2020-04-02,52,2020-04-02,60,2020-04-02,77,2020-04-02,77,2020-04-04,72,2020-04-03,91
2020-04-04,98,2020-04-03,65,2019-10-03,118,2020-04-03,45,2020-04-03,49,2020-04-03,52,2020-04-03,64,2020-04-03,63,2020-04-05,79,2020-04-04,98
2020-04-05,117,2020-04-04,72,2019-10-04,84,2020-04-04,54,2020-04-04,60,2020-04-04,61,2020-04-04,81,2020-04-04,77,2020-04-06,86,2020-04-05,117
2020-04-06,118,2020-04-05,63,2019-10-05,81,2020-04-05,73,2020-04-05,77,2020-04-05,87,2020-04-05,105,2020-04-05,102,2020-04-07,79,2020-04-06,118
2020-04-07,90,2020-04-06,167,2019-10-06,111,2020-04-06,70,2020-04-06,55,2020-04-06,96,2020-04-06,118,2020-04-06,116,2020-04-08,67,2020-04-07,90
2020-04-08,100,2020-04-07,81,2019-10-07,134,2020-04-07,56,2020-04-07,58,2020-04-07,65,2020-04-07,105,2020-04-07,93,2020-04-09,71,2020-04-08,100
2020-04-09,99,2020-04-08,75,2019-10-08,96,2020-04-08,55,2020-04-08,57,2020-04-08,58,2020-04-08,84,2020-04-08,83,2020-04-10,77,2020-04-09,99
2020-04-10,124,2020-04-09,88,2019-10-09,123,2020-04-09,62,2020-04-09,63,2020-04-09,69,2020-04-09,104,2020-04-09,98,2020-04-11,73,2020-04-10,124
2020-04-11,118,2020-04-10,95,2019-10-10,155,2020-04-10,64,2020-04-10,66,2020-04-10,83,2020-04-10,114,2020-04-10,117,2020-04-12,84,2020-04-11,118
2020-04-12,105,2020-04-11,91,2019-10-11,152,2020-04-11,61,2020-04-11,57,2020-04-11,77,2020-04-11,120,2020-04-11,111,2020-04-13,108,2020-04-12,105
2020-04-13,129,2020-04-12,91,2019-10-12,154,2020-04-12,55,2020-04-12,64,2020-04-12,67,2020-04-12,86,2020-04-12,81,2020-04-14,116,2020-04-13,129
2020-04-14,121,2020-04-13,107,2019-10-13,165,2020-04-13,64,2020-04-13,75,2020-04-13,85,2020-04-13,107,2020-04-13,109,2020-04-15,143,2020-04-14,121
2020-04-15,128,2020-04-14,117,2019-10-14,167,2020-04-14,79,2020-04-14,90,2020-04-14,113,2020-04-14,140,2020-04-14,130,2020-04-16,96,2020-04-15,128
2020-04-16,133,2020-04-15,135,2019-10-15,164,2020-04-15,94,2020-04-15,89,2020-04-15,145,2020-04-15,160,2020-04-15,163,2020-04-17,95,2020-04-16,133
