date, pm25, pm10, o3, no2, co
2017/11/13, 370, 260, 28, 7, 
2017/11/14, 288, 179, 50, 7, 
2017/11/15, 233, 194, 24, 8, 
2017/11/16, 244, 147, 21, 8, 
2017/11/17, 202, 139, 22, 8, 
2017/11/18, 198, 128, 27, 7, 
2017/11/19, 188, 170, 29, 7, 
2017/11/20, 225, 154, 19, 8, 
2017/11/21, 207, 141, 29, 7, 
2017/11/22, 201, 129, 31, 7, 
2017/11/23, 186, 116, 31, 7, 
2017/11/24, 174, 146, 33, 7, 
2017/11/25, 202, 176, 35, 7, 
2017/11/26, 230, 173, 32, 7, 
2017/11/27, 227, 151, 27, 8, 
2017/11/28, 206, 161, 25, 8, 
2017/11/29, 216, 162, 21, 8, 
2017/11/30, 218, 167, 28, 7, 
2017/11/12, , 347, 28, 7, 
