date, pm25, pm10, o3, no2, so2, co
2019/9/1, 115, 104, 17, 20, 4, 9
2019/9/2, 148, 104, 16, 18, 4, 10
2019/9/3, 155, 142, 28, 24, 5, 11
2019/9/4, 168, 107, 24, 18, 4, 6
2019/9/5, 117, 108, 32, 20, 6, 12
2019/9/6, 134, 94, 17, 20, 5, 8
2019/9/7, 256, 71, 1, 13, 4, 7
2019/9/8, 95, 99, 8, 17, 4, 9
2019/9/9, 144, 106, 7, 18, 5, 9
2019/9/10, 153, 127, 21, 24, 5, 10
2019/9/11, 168, 122, 27, 20, 5, 9
2019/9/12, 162, 104, 14, 18, 5, 7
2019/9/13, 118, 100, 12, 16, 4, 5
2019/9/14, 100, , , , , 
2019/9/16, 151, 123, 30, 26, 5, 10
2019/9/17, 154, 116, 21, 23, 3, 8
2019/9/18, 130, 129, 7, 25, , 5
2019/9/19, 106, 134, 7, 21, 3, 8
2019/9/20, 105, , , , , 
2019/9/22, 134, 127, 14, 18, 5, 8
2019/9/23, 169, 117, 5, 17, 5, 7
2019/9/24, 145, 112, 14, 12, 6, 7
2019/9/25, 124, 102, 56, 12, 6, 8
2019/9/26, 115, 93, 53, 9, 7, 6
2019/9/27, 79, 97, 54, 10, 6, 6
2019/9/28, 105, 102, 11, 9, 5, 6
2019/9/29, 83, 100, 14, 12, 5, 12
2019/9/30, 149, 114, 15, 12, 5, 9
2018/9/1, 125, 69, 21, , 9, 9
2018/9/2, 118, 63, 8, , 10, 13
2018/9/3, 123, 102, 20, , 11, 19
2018/9/4, 164, 92, 4, , 11, 12
2018/9/5, 129, 118, 7, 29, 10, 11
2018/9/6, 124, 78, 9, 29, 9, 11
2018/9/7, 117, 89, 5, 22, 8, 9
2018/9/8, 117, 63, 2, 26, 10, 10
2018/9/9, 137, 96, 18, 29, 12, 13
2018/9/10, 146, 100, 4, 22, 12, 10
2018/9/11, 115, 104, 5, 14, 10, 8
2018/9/12, 118, 105, 7, 13, 13, 7
2018/9/13, 111, 107, 12, 13, 12, 7
2018/9/14, 113, 163, 12, 14, 12, 9
2018/9/15, 179, 116, 15, 12, 10, 7
2018/9/16, 134, 127, 24, 11, 10, 8
2018/9/17, 147, 146, 28, 11, 9, 9
2018/9/18, 160, 140, 33, 13, 11, 9
2018/9/19, 154, 144, 42, 15, 10, 11
2018/9/20, 166, 155, 13, 18, 12, 11
2018/9/21, 182, 72, 7, 18, 12, 9
