date, pm25
2019/9/1,89
2019/9/2,116
2019/9/3,154
2019/9/4,158
2019/9/5,89
2019/9/6,85
2019/9/7,83
2019/9/8,93
2019/9/9,137
2019/9/10,146
2019/9/11,159
2019/9/12,136
2019/9/13,90
2019/9/14,78
2019/9/15,102
2019/9/16,139
2019/9/17,140
2019/9/18,98
2019/9/19,68
2019/9/20,89
2019/9/21,100
2019/9/22,74
2019/9/23,91
2019/9/24,95
2019/9/25,88
2019/9/26,59
2019/9/27,45
2019/9/28,61
2019/9/29,50
2019/9/30,82
2018/9/1,106
2018/9/3,113
2018/9/4,124
2018/9/5,92
2018/9/6,99
2018/9/7,83
2018/9/8,64
2018/9/9,46
2018/9/10,59
2018/9/12,7
2018/9/13,17
2018/9/14,103
2018/9/15,83
2018/9/16,102
2018/9/17,137
2018/9/18,132
2018/9/19,139
2018/9/20,149
2018/9/21,100
2018/9/22,54
2018/9/23,79
2018/9/24,54
2018/9/25,59
2018/9/26,98
2018/9/27,144
2018/9/28,143
2018/9/29,152
2018/9/30,130
2017/9/11,128
2017/9/12,111
2017/9/13,136
2017/9/14,152
2017/9/15,128
2017/9/16,134
2017/9/17,116
2017/9/18,120
2017/9/19,136
2017/9/20,147
2017/9/21,115
2017/9/22,43
2017/9/23,38
2017/9/24,89
2017/9/25,127
2017/9/26,144
2017/9/27,157
2017/9/28,154
2017/9/29,163
2017/9/30,151
2016/9/1,63
2016/9/2,97
2016/9/3,98
2016/9/4,83
2016/9/5,70
2016/9/6,73
2016/9/7,89
2016/9/8,93
2016/9/9,95
2016/9/10,79
2016/9/11,72
2016/9/12,75
2016/9/13,108
2016/9/14,93
2016/9/15,153
2016/9/16,132
2016/9/17,155
2016/9/18,161
2016/9/19,147
2016/9/20,165
2016/9/21,154
2016/9/22,75
2016/9/23,105
2016/9/24,123
2016/9/25,130
2016/9/26,150
2016/9/27,124
2016/9/28,162
2016/9/29,170
2016/9/30,144
2015/9/1,108
2015/9/2,147
2015/9/3,150
2015/9/4,137
2015/9/5,119
2015/9/6,107
2015/9/7,100
2015/9/8,110
2015/9/9,99
2015/9/10,107
2015/9/11,134
2015/9/12,154
2015/9/13,158
2015/9/14,169
2015/9/15,167
2015/9/16,163
2015/9/17,167
2015/9/18,108
2015/9/19,134
2015/9/20,117
2015/9/21,72
2015/9/22,72
2015/9/23,38
2015/9/24,84
2015/9/25,112
2015/9/26,121
2015/9/27,138
2015/9/28,126
2015/9/29,133
2015/9/30,98
2019/10/1,87
2019/10/2,102
2019/10/3,130
2019/10/4,122
2019/10/5,103
2019/10/6,145
2019/10/7,133
2019/10/8,107
2019/10/9,152
2019/10/10,162
2019/10/11,181
2019/10/15,175
2019/10/16,191
2019/10/17,178
2019/10/18,159
2019/10/19,139
2019/10/20,164
2019/10/21,179
2019/10/22,163
2019/10/23,174
2019/10/24,198
2019/10/25,182
2019/10/26,187
2019/10/27,236
2019/10/28,298
2019/10/29,310
2019/10/30,305
2019/10/31,328
2018/10/1,151
