date, pm25, pm10, o3, no2, so2, co
2019/9/1, 67, 74, 12, 4, 4, 
2019/9/2, 56, 121, 12, 3, 3, 
2019/9/3, 89, 151, 12, 10, 3, 
2019/9/4, 99, 49, 11, 9, 1, 
2019/9/5, 66, 55, 9, 12, 2, 
2019/9/6, 70, 66, 10, 10, 1, 
2019/9/7, 97, 60, 10, 3, 1, 
2019/9/8, 119, 57, 13, 4, 1, 
2019/9/9, 98, 75, 12, 8, 3, 
2019/9/10, 121, 75, 11, 8, 3, 
2019/9/11, 124, 86, 11, 8, 3, 
2019/9/12, 136, 57, 9, 8, 3, 
2019/9/13, 99, 69, 9, 10, 3, 
2019/9/14, 120, 58, 9, 8, 3, 
2019/9/15, 100, 55, 12, 7, 3, 
2019/9/16, 96, 75, 16, 8, 3, 
2019/9/17, 111, 64, 9, 10, 3, 
2019/9/18, 112, 60, 9, 11, 4, 
2019/9/19, 82, 64, 17, 11, 6, 
2019/9/20, 109, 54, 22, 10, 5, 
2019/9/21, 99, 68, 14, 13, 4, 
2019/9/22, 113, 62, 25, 8, 4, 
2019/9/23, 108, 75, 18, 12, 6, 
2019/9/24, 133, 73, 17, 16, 3, 
2019/9/25, 133, 65, 6, 19, 5, 
2019/9/26, 113, 43, 19, 13, 2, 
2019/9/27, 78, 49, 12, 9, 2, 
2019/9/28, 91, 32, 10, 10, 2, 
2019/9/29, 66, 42, 8, 12, 3, 
2019/9/30, 77, 59, 11, 11, 6, 
2018/9/1, 68, 42, 7, 5, 3, 6
2018/9/2, 60, 42, 14, 5, 4, 6
2018/9/3, 66, 36, 19, 6, 3, 5
2018/9/4, 65, 45, 9, 6, 2, 6
2018/9/5, 77, 47, 27, 5, 3, 6
2018/9/6, 67, 35, 11, 5, 3, 6
2018/9/7, 57, 16, 20, 6, 4, 6
2018/9/8, 32, 39, 15, 5, 4, 6
2018/9/9, 61, 26, 18, 5, 3, 6
2018/9/10, 57, 23, 25, 9, 3, 5
2018/9/11, 62, 34, 23, 12, 4, 6
2018/9/12, 60, 50, 10, 12, 10, 6
2018/9/13, 56, 48, 17, 10, 4, 6
2018/9/14, 61, 35, 8, 10, 1, 9
2018/9/15, 48, 26, , 11, 1, 8
2018/9/16, 54, 32, 11, 10, 2, 8
2018/9/17, 71, 56, 18, 14, 17, 8
2018/9/18, 108, 65, 20, 1, 2, 4
2018/9/19, 133, 79, 21, , 2, 7
2018/9/20, 148, 76, 3, , 2, 7
2018/9/21, 138, 47, 1, , 6, 4
2018/9/22, 97, , , , 2, 5
2018/9/24, 65, 34, 6, 9, 2, 5
2018/9/25, 49, 46, 6, 9, 1, 5
2018/9/26, 102, 60, 7, 9, 3, 6
2018/9/27, 130, 70, 7, 9, 11, 8
2018/9/28, 136, 21, 2, 9, 16, 6
2018/9/29, 57, 23, 3, 9, 30, 12
2018/9/30, 57, 32, 3, 9, 19, 8
2018/9/23, , 28, 6, , 2, 4
2019/10/1, 108, 61, 18, 14, 7, 
2019/10/2, 120, 54, 20, 11, 4, 
2019/10/3, 105, 37, 16, 11, 4, 
2019/10/4, 64, 46, 21, 12, 3, 
2019/10/5, 84, 58, 21, 18, 3, 
2019/10/6, 121, 60, 20, 13, 3, 
2019/10/7, 113, 48, 21, 19, 3, 
2019/10/8, 87, 61, 22, 19, 3, 
2019/10/9, 117, 62, 24, 19, 5, 
2019/10/10, 109, 64, 17, 21, 4, 
2019/10/11, 130, 76, 14, 19, 3, 
2019/10/12, 148, 70, 13, 18, 1, 
2019/10/13, 149, 81, 12, 20, 1, 
2019/10/14, 149, 101, 13, 21, 3, 
2019/10/15, 164, 108, 12, 20, 3, 
2019/10/16, 172, 107, 10, 16, 4, 
2019/10/17, 167, 84, 11, 13, 5, 
2019/10/18, 137, 56, 14, 13, 2, 
2019/10/19, 117, 66, 14, 14, 1, 
2019/10/20, 130, 88, 16, 11, 2, 
2019/10/21, 155, 102, 17, 11, 3, 
2019/10/22, 159, 108, 14, 13, 3, 
2019/10/23, 162, 110, 7, 16, 6, 
2019/10/24, 167, 108, 16, 29, 5, 
