date, pm25, pm10, o3, no2, so2, co
2019/9/1, 92, 51, 14, 2, 1, 4
2019/9/2, 69, 59, 15, 2, 2, 4
2019/9/3, 88, 68, 13, 2, 2, 5
2019/9/4, 99, 39, 25, 2, 2, 4
2019/9/5, 60, 50, 14, 4, 2, 4
2019/9/6, 73, 65, 20, 2, 3, 4
2019/9/7, 84, 63, 20, 2, 1, 4
2019/9/8, 81, 77, 24, 2, 1, 5
2019/9/9, 110, 88, 20, 2, 2, 6
2019/9/10, 130, 85, 10, 3, 2, 5
2019/9/11, 127, 81, 9, 3, 3, 6
2019/9/12, 135, 56, 11, 2, 4, 4
2019/9/13, 82, 56, 14, 2, 4, 5
2019/9/14, 80, 40, 14, 1, 4, 4
2019/9/15, 59, 57, 15, 2, 4, 5
2019/9/16, 93, 67, 20, 2, 3, 4
2019/9/17, 93, 80, 19, 4, 3, 5
2019/9/18, 89, 49, 13, 4, 3, 3
2019/9/19, 60, 54, 16, 4, 3, 4
2019/9/20, 72, 63, 14, 5, 3, 5
2019/9/21, 85, 62, 5, 4, 3, 5
2019/9/22, 75, 53, 7, 4, 3, 4
2019/9/23, 66, 62, 12, 5, 3, 4
2019/9/24, 83, 59, 9, 4, 4, 4
2019/9/25, 78, 58, 8, 4, 4, 5
2019/9/26, 71, 50, 7, 5, 4, 4
2019/9/27, 62, 52, 6, 20, 3, 4
2019/9/28, 50, 45, 6, 30, 3, 4
2019/9/29, 47, 52, 7, 26, 4, 6
2019/9/30, 65, 62, 6, 17, 3, 5
2019/10/1, 79, 66, 9, 17, 4, 5
2019/10/2, 87, 74, 8, 15, 2, 6
2019/10/3, 109, 47, 8, 11, 3, 4
2019/10/4, 64, 48, 9, 12, 3, 4
2019/10/5, 62, 64, 9, 16, 2, 5
2019/10/6, 83, 73, 9, 17, 2, 4
2019/10/7, 85, 59, 8, 18, 3, 4
2019/10/8, 84, 90, 9, 22, 3, 6
2019/10/9, 119, 102, 23, 17, 3, 6
2019/10/10, 118, 91, 30, 16, 3, 7
2019/10/11, 114, 117, 29, 16, 2, 8
2019/10/12, 146, 111, 25, 17, 4, 9
2019/10/13, 154, 105, 16, 17, 4, 8
2019/10/14, 149, 139, 16, 19, 3, 10
2019/10/15, 155, 190, 24, 16, 3, 11
2019/10/16, 171, 132, 20, 15, 3, 9
2019/10/17, 143, 109, 19, 14, 3, 8
2019/10/18, 112, 95, 20, 17, 3, 7
2019/10/19, 100, 84, 18, 18, 2, 6
2019/10/20, 72, 85, 19, 26, 3, 7
2019/10/21, 77, 117, 21, 21, 3, 7
2019/10/22, 98, 143, 22, 18, 3, 7
2019/10/23, 147, 227, 25, 23, 3, 11
2019/10/24, 165, 178, 21, 24, 2, 11
2019/10/25, 160, 205, 22, 22, 2, 11
2019/10/26, 165, 296, 22, 23, 2, 14
2019/10/27, 178, 258, 16, 21, 4, 13
2019/10/28, 168, 366, 11, 24, 5, 20
2019/10/29, 195, 467, 6, 25, 3, 22
2019/10/30, 163, 591, 16, 23, 4, 21
2019/10/31, 230, 515, 14, 19, 4, 20
2019/11/1, 223, 417, 13, 21, 3, 19
2019/11/2, 186, 635, 14, 23, 4, 29
2019/11/3, 272, 333, 36, 21, 4, 19
2019/11/4, 258, 268, 19, 18, 4, 15
2019/11/5, 223, 210, 17, 16, 4, 13
2019/11/6, 201, 74, 17, 14, 4, 5
2019/11/7, 114, 86, 20, 15, 4, 5
2019/11/8, 108, 161, 22, 14, 3, 8
2019/11/9, 140, 209, 25, 16, 3, 13
2019/11/10, 188, 256, 23, 20, 4, 17
2019/11/11, 220, 215, 28, 18, 3, 18
2019/11/12, 217, 170, 27, 19, 3, 15
2019/11/13, 202, 134, 27, 20, 3, 13
2019/11/14, 181, 204, 28, 19, 3, 15
2019/11/15, 204, 86, 25, 14, 3, 7
2019/11/16, 140, 53, 30, 12, 3, 5
2019/11/17, 94, 68, 27, 15, 4, 6
2019/11/18, 114, 145, 23, 18, 5, 11
2019/11/19, 138, 183, 38, 21, 2, 12
2019/11/20, 169, 128, 23, 21, 3, 11
2019/11/21, 166, 112, 25, 17, 1, 10
2019/11/22, 162, 73, 21, 14, 2, 5
2019/11/23, 118, 71, 26, 15, 2, 6
2019/11/24, 121, 73, 23, 14, 4, 5
2019/11/25, 125, 67, 21, 14, 4, 6
2019/11/26, 110, 45, 20, 14, 3, 5
2019/11/27, 75, 41, 24, 13, 2, 4
2019/11/28, 63, 58, 29, 15, 4, 6
2019/11/29, 75, 81, 31, 13, 3, 6
2019/11/30, 97, 86, 36, 15, 2, 6
